video_id,image_path,video_path,caption_1,caption_generado
video1949,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1949.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1949.mp4,a comedic song about the houston texans football team,the best nfl players in the nfl history
video1954,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1954.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1954.mp4,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously,20 % of nexus facts
video1967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1967.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1967.mp4,a man with spiky hair talks with a news reporter about golf,a man in a white shirt is standing in front of a plane
video1997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1997.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1997.mp4,a man is water skiing behind a boat,a woman in a pink shirt is on a boat
video2038,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2038.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2038.mp4,some screenshots of baseball players swinging bats,a baseball player swinging at a ball
video2054,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2054.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2054.mp4,men are playing soccer and a man in a red shirt and a man in a yellow shirt get tackled,a soccer game is being played in the stadium
video2101,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2101.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2101.mp4,a basketball player shoots a basket,a man is duning a basketball ball into the hoop
video2120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2120.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2120.mp4,a golfer drives a ball,a screen shot of a football game with the words'football '
video2248,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2248.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2248.mp4,on a baseball field referees discuss a play,a baseball player is talking to another player
video2260,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2260.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2260.mp4,a man in short red shorts tosses jalapenos through a tiny basketball hoop into a bowl of nachos,a man holding a basketball ball in his hand
video2282,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2282.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2282.mp4,a gamer plays a soccer video game,a man jumping off a cliff into a cliff
video2311,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2311.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2311.mp4,a basketball player performs a slam dunk,a man is doing a trick on the grass
video2314,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2314.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2314.mp4,there is a tiger running towards the water,a tiger is walking around a fence
video2347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2347.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2347.mp4,a female soccer goalie being interviewed by the press,a woman in a gray tank top is interviewed by a reporter
video2379,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2379.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2379.mp4,two people playing table tennis game in front of the audience,a woman playing a game of table tennis
video2390,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2390.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2390.mp4,a basketball game is played,a man is duning a basketball ball into the hoop
video2434,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2434.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2434.mp4,a commentator is talking about a soccer game,a man in a suit and tie is talking to a reporter
video2445,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2445.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2445.mp4,a man catches footballs while navigating abound small pools of water,a man in a green shirt is holding a kite
video2525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2525.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2525.mp4,the woman players in red and black dress running fastly on the track,a woman running in a track race
video2553,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2553.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2553.mp4,there is a animated character playing tennis  very slowly,a person is doing a trick on a ball
video2580,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2580.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2580.mp4,a clip of a man entering a boxing ring,a man in a black shirt and black shirt is talking to someone
video2586,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2586.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2586.mp4,a group of soccer fans cheer while watching a game,a soccer game is being played on the field
video2597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2597.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2597.mp4,a golfer is walking away from the hole after he makes a put,a golf player is playing a game on the tv screen
video2634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2634.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2634.mp4,a man in a blue shirt is dribbling a basketball,a basketball player is about to shoot the ball
video2664,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2664.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2664.mp4,a tshirt man is playing table tennis,a person is holding a wooden ball and a ruler
video2685,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2685.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2685.mp4,a compilation of a few different soccer games,a soccer game is being played on the field
video2732,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2732.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2732.mp4,a baseball player hits the ball,a baseball player is throwing the ball
video2762,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2762.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2762.mp4,a lawn tennis video game,a baseball game on a tv screen
video279,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video279.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video279.mp4,a backstroke swimming competition,a group of swimmers in a pool with spectators watching
video2795,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2795.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2795.mp4,a classroom scene from a movie that shows a guy freaking out and running away,watch and share the first episode of the big bang on < & 39
video2812,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2812.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2812.mp4,a basketball game played by the clippers is shown briefly,a basketball game with a crowd watching
video2835,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2835.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2835.mp4,a football game with a player making a touch down,a baseball player is throwing a ball at the plate
video2856,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2856.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2856.mp4,two beautiful girls swimming in the deep blue sea,a woman in a bikini is dancing in the water
video2860,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2860.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2860.mp4,two players wearing black and white dress playing the tennis well in the tennis court,a man is playing tennis on a court
video2877,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2877.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2877.mp4,a basketball player shoots a layup,a basketball player is duning at the ball
video2884,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2884.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2884.mp4,a college football game is shown,a football game with a player on the field
video2909,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2909.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2909.mp4,a football play from several different angles,a football game is being played on the field
video2926,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2926.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2926.mp4,a guy in the gym describing how to make moves in basketball,a man in a white shirt and yellow shorts is playing basketball
video2944,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2944.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2944.mp4,a baseball clip and a football clip of the saints plays,a basketball game with a crowd watching
video2959,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2959.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2959.mp4,a football player is making a catch,a football player is caught by a referee
video2967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2967.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2967.mp4,a basketball player dunks the  ball,a 3d image of a red and blue phone
video2994,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2994.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2994.mp4,a basketball game is played and commentated,a basketball game with a crowd watching
video2998,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2998.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2998.mp4,a man is holding a football,a man in a suit and tie is holding a sign
video302,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video302.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video302.mp4,a man in a black uniform and bright orange tennis shoes kicks a soccer ball into a goal,a soccer player is kicking a ball on the field
video3050,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3050.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3050.mp4,a basketball player hitting a last second shot,a man in a red jersey is standing on the court
video3075,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3075.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3075.mp4,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses,a man is playing with his finger
video3115,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3115.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3115.mp4,there is man is practicing football and kick the ball to the court,a man kicking a soccer ball on a field
video3120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3120.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3120.mp4,a man in black dress is saying something about table tennis game,a man is standing on a table with a ping po
video3129,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3129.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3129.mp4,there is a man running on the woods,a man jumping over a log in the middle of a field
video3160,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3160.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3160.mp4,a clip from a football match,a soccer game is being played on the field
video3228,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3228.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3228.mp4,a man in white tshirt is running way from someone,a man is sitting at a table with a plate of food
video3242,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3242.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3242.mp4,a montoge of soccer games,a man in a suit and tie is standing in front of a crowd
video3265,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3265.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3265.mp4,3 guys talking about if wiffleball or baseball is better,a man in a red shirt and hat
video3346,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3346.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3346.mp4,a college football game being played,a group of people in yellow shirts and black hats
video3368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3368.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3368.mp4,a woman is playing tennis on a stadium,a man is playing tennis on a court
video3373,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3373.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3373.mp4,a football players are running,a man in a suit and tie is standing in front of a crowd
video347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video347.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video347.mp4,a man is skiing down a mountain and views from the mountain are shown,a snow covered path in the woods
video3525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3525.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3525.mp4,a dog is running on a field,a man in a suit and tie is sitting at a desk
video3540,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3540.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3540.mp4,a football player is making a goal into the goal post,a video of a soccer game being played by a man
video3541,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3541.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3541.mp4,three basketball players in orange shirts perform fantastic moves,a man is running down a steep hill
video3545,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3545.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3545.mp4,a musical video showing a girl with a light blue cap and a person running in the back,a black and white image of a street at night
video3597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3597.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3597.mp4,a basketball game is played,a screenshot of a basketball player with a ball
video3628,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3628.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3628.mp4,a basketball highlight reel shows good and funny shots,a man is sitting on the floor with his head down
video3634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3634.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3634.mp4,a discussion of an old football game,a football player catching a ball in the air
video3644,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3644.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3644.mp4,there are many people enjoy swimming in water,a person riding a wave on a surfboard
video3661,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3661.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3661.mp4,a basketball player does a dunk,a man standing on a basketball court with a ball
video3695,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3695.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3695.mp4,a boy is about to play basketball with his two friends on an indoor court,a basketball court with a player in the middle
video3764,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3764.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3764.mp4,a basketball player dunking,the rockets'team celebrates after their win over the rockets
video3773,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3773.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3773.mp4,a football game is being played on full snow covered field,made 2 to 10 plays of the week 4 snows are mine to
video3802,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3802.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3802.mp4,a basketball player shoots a layup,a man is playing basketball in a large gym
video3826,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3826.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3826.mp4,football teams throw the ball and run down the field before diving off the sideline,a football player running with the ball
video3872,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3872.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3872.mp4,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net,a person is doing a trick on a ball
video3894,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3894.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3894.mp4,a compilation of football highlights,a hockey player is trying to block the puck
video3925,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3925.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3925.mp4,a basic animated clip of hockey and table tennis examples,a cartoon of two men playing hockey
video3986,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3986.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3986.mp4,a basketball player makes a slam dunk,nba live game trailer
video3997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3997.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3997.mp4,a basketball player goes up for a dunk but gets rejected by the other team,a basketball player is about to shoot the ball
video4025,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4025.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4025.mp4,a fluffy white and brown dog carries a stick while running through the woods,a man and woman walking through a forest
video4071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4071.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4071.mp4,there is a man running in to the grass,a screenshot of a video game
video4087,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4087.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4087.mp4,a basketball player celebrates winning an award,a group of people playing instruments in a room
video4091,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4091.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4091.mp4,a star on the abc network enjoys jet-skiing on a lake,a red circle is seen in the dark
video4158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4158.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4158.mp4,a man heads a soccer ball,a video of a soccer game being played by a man
video4167,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4167.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4167.mp4,a group of mermaids are a swimming in the ocean with other water creatures,a bunch of oranges in a cage
video4177,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4177.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4177.mp4,a basketball game is occurring,a 3d image of a red and blue phone
video4198,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4198.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4198.mp4,a young africa-american man speaks of his time playing basketball and his father s incredulity as to his son s career choice,a man standing in front of a building
video4201,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4201.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4201.mp4,a basketball player lands a shot from half court,a baseball player is throwing a ball at the plate
