video_id,video_path,caption
video2553,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2553.mp4,there is a animated character playing tennis  very slowly
video2580,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2580.mp4,a clip of a man entering a boxing ring
video2586,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2586.mp4,a group of soccer fans cheer while watching a game
video2597,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2597.mp4,a golfer is walking away from the hole after he makes a put
video2634,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2634.mp4,a man in a blue shirt is dribbling a basketball
video2664,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2664.mp4,a tshirt man is playing table tennis
video2685,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2685.mp4,a compilation of a few different soccer games
video2732,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2732.mp4,a baseball player hits the ball
video2762,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2762.mp4,a lawn tennis video game
video279,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video279.mp4,a backstroke swimming competition
video2795,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2795.mp4,a classroom scene from a movie that shows a guy freaking out and running away
video2812,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2812.mp4,a basketball game played by the clippers is shown briefly
video2835,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2835.mp4,a football game with a player making a touch down
video2856,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2856.mp4,two beautiful girls swimming in the deep blue sea
video2860,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2860.mp4,two players wearing black and white dress playing the tennis well in the tennis court
video2877,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2877.mp4,a basketball player shoots a layup
video2884,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2884.mp4,a college football game is shown
video2909,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2909.mp4,a football play from several different angles
video2926,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2926.mp4,a guy in the gym describing how to make moves in basketball
video2944,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2944.mp4,a baseball clip and a football clip of the saints plays
video2959,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2959.mp4,a football player is making a catch
video2967,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2967.mp4,a basketball player dunks the  ball
video2994,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2994.mp4,a basketball game is played and commentated
video2998,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2998.mp4,a man is holding a football
video302,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video302.mp4,a man in a black uniform and bright orange tennis shoes kicks a soccer ball into a goal
video3050,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3050.mp4,a basketball player hitting a last second shot
video3075,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3075.mp4,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses
video3115,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3115.mp4,there is man is practicing football and kick the ball to the court
video3120,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3120.mp4,a man in black dress is saying something about table tennis game
video3129,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3129.mp4,there is a man running on the woods
video3160,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3160.mp4,a clip from a football match
video3228,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3228.mp4,a man in white tshirt is running way from someone
video3242,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3242.mp4,a montoge of soccer games
video3265,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3265.mp4,3 guys talking about if wiffleball or baseball is better
video3346,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3346.mp4,a college football game being played
video3368,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3368.mp4,a woman is playing tennis on a stadium
video3373,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3373.mp4,a football players are running
video347,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video347.mp4,a man is skiing down a mountain and views from the mountain are shown
video3525,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3525.mp4,a dog is running on a field
video3540,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3540.mp4,a football player is making a goal into the goal post
video3541,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3541.mp4,three basketball players in orange shirts perform fantastic moves
video3545,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3545.mp4,a musical video showing a girl with a light blue cap and a person running in the back
video3597,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3597.mp4,a basketball game is played
video3628,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3628.mp4,a basketball highlight reel shows good and funny shots
video3634,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3634.mp4,a discussion of an old football game
video3644,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3644.mp4,there are many people enjoy swimming in water
video3661,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3661.mp4,a basketball player does a dunk
video3695,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3695.mp4,a boy is about to play basketball with his two friends on an indoor court
video3764,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3764.mp4,a basketball player dunking
video3773,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3773.mp4,a football game is being played on full snow covered field
video3802,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3802.mp4,a basketball player shoots a layup
video3826,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3826.mp4,football teams throw the ball and run down the field before diving off the sideline
video3872,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3872.mp4,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net
video3894,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3894.mp4,a compilation of football highlights
video3925,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3925.mp4,a basic animated clip of hockey and table tennis examples
video3986,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3986.mp4,a basketball player makes a slam dunk
video3997,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video3997.mp4,a basketball player goes up for a dunk but gets rejected by the other team
video4025,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4025.mp4,a fluffy white and brown dog carries a stick while running through the woods
video4071,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4071.mp4,there is a man running in to the grass
video4087,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4087.mp4,a basketball player celebrates winning an award
video4091,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4091.mp4,a star on the abc network enjoys jet-skiing on a lake
video4158,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4158.mp4,a man heads a soccer ball
video4167,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4167.mp4,a group of mermaids are a swimming in the ocean with other water creatures
video4177,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4177.mp4,a basketball game is occurring
video4198,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4198.mp4,a young africa-american man speaks of his time playing basketball and his father s incredulity as to his son s career choice
video4201,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video4201.mp4,a basketball player lands a shot from half court
