video_id,caption,url
video3363,a basketball player does an interview,https://www.youtube.com/watch?v=3g4Rpk9GyIc
video3368,a woman is playing tennis on a stadium,https://www.youtube.com/watch?v=zEe8dqBjEpY
video3373,a football players are running,https://www.youtube.com/watch?v=1QvPruYu0CQ
video342,a cartoon of different fish that are swimming,https://www.youtube.com/watch?v=8fLxmHziqNo
video347,a man is skiing down a mountain and views from the mountain are shown,https://www.youtube.com/watch?v=TG0FXS60tTA
video3471,a basketball player breaking an opponent s ankles,https://www.youtube.com/watch?v=qyVbGEhkVMU
video3519,table tennis match is going on with two players fighting for the win,https://www.youtube.com/watch?v=uvWBypqyQsQ
video3525,a dog is running on a field,https://www.youtube.com/watch?v=fyz2bryWD8g
video3535,a monster is running inside the cave,https://www.youtube.com/watch?v=6Ggi2UmbGXQ
video3539,a baseball player in a blue uniform makes a spectacular catch before running into the wall in outfield,https://www.youtube.com/watch?v=Uw4Nf63cHsU
video3540,a football player is making a goal into the goal post,https://www.youtube.com/watch?v=9D2BRZN7FN0
video3541,three basketball players in orange shirts perform fantastic moves,https://www.youtube.com/watch?v=_EosQ8gZWHk
video3545,a musical video showing a girl with a light blue cap and a person running in the back,https://www.youtube.com/watch?v=sWBKCzzNEeo
video3566,a baseball game analysis,https://www.youtube.com/watch?v=BPVWSrpVPpc
video3579,a small kid in blue shirt is practising baseball,https://www.youtube.com/watch?v=TY14K-UluRQ
video3581,two players are playing vigorously table tennis with olympic symbol on their background,https://www.youtube.com/watch?v=vhw7wKifwNk
video3597,a basketball game is played,https://www.youtube.com/watch?v=qJxd6elIJ7s
video3627,a compilation of soccer highlights,https://www.youtube.com/watch?v=uJrCasnK7GY
video3628,a basketball highlight reel shows good and funny shots,https://www.youtube.com/watch?v=56bpnRkVfrQ
video3630,a bunch of people are running,https://www.youtube.com/watch?v=uYWoUJ_f4r4
video3634,a discussion of an old football game,https://www.youtube.com/watch?v=CvIqO2z-_a8
video3644,there are many people enjoy swimming in water,https://www.youtube.com/watch?v=Xm49yEL6ca4
video3661,a basketball player does a dunk,https://www.youtube.com/watch?v=WkpSJFYtKls
video3695,a boy is about to play basketball with his two friends on an indoor court,https://www.youtube.com/watch?v=ybsR64flyTQ
video3710,a game of womans beach volleyball,https://www.youtube.com/watch?v=3jRKy7xMC4c
video3760,in a football ground players are trying to put a goal,https://www.youtube.com/watch?v=z68xWe6cXA0
video3764,a basketball player dunking,https://www.youtube.com/watch?v=aInOK6T6n1w
video3773,a football game is being played on full snow covered field,https://www.youtube.com/watch?v=12H7uoJ9By0
video3780,a flock of whales are swimming,https://www.youtube.com/watch?v=burI0iyYEec
video3802,a basketball player shoots a layup,https://www.youtube.com/watch?v=8_-f7-Q2l88
video3826,football teams throw the ball and run down the field before diving off the sideline,https://www.youtube.com/watch?v=xkJeDkiL3Rc
video3828,animated young men are playing tennis against each other,https://www.youtube.com/watch?v=XyVnrluW_pA
video3838,a female athlete is running a race on a track,https://www.youtube.com/watch?v=y7fRdGwatqk
video3872,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net,https://www.youtube.com/watch?v=YWpB0HlPXuA
video3894,a compilation of football highlights,https://www.youtube.com/watch?v=Hdk5Gf4pbYo
video3914,there is a man playing with a golf stick,https://www.youtube.com/watch?v=Y_StaLEIyGo
video3925,a basic animated clip of hockey and table tennis examples,https://www.youtube.com/watch?v=BzNRfbRyXsI
video3986,a basketball player makes a slam dunk,https://www.youtube.com/watch?v=8rTh9VJ6E_Y
video3997,a basketball player goes up for a dunk but gets rejected by the other team,https://www.youtube.com/watch?v=rJkr3zT9RTo
video3998,a bunch of soccer clips,https://www.youtube.com/watch?v=0vP7nnHvKcE
video4025,a fluffy white and brown dog carries a stick while running through the woods,https://www.youtube.com/watch?v=SSKTEfc9Ulc
video4037,a clip of a golfing videogame,https://www.youtube.com/watch?v=vBDes__wYTo
video4071,there is a man running in to the grass,https://www.youtube.com/watch?v=ugeWccfdxbI
video4087,a basketball player celebrates winning an award,https://www.youtube.com/watch?v=6xea9pf_Umk
video4091,a star on the abc network enjoys jet-skiing on a lake,https://www.youtube.com/watch?v=W_x1lY7t1p0
video4117,there are testimonials and an introduction to a football training facility,https://www.youtube.com/watch?v=sFnFq_52Vj0
video4150,a woman is out in the a parking lot while it is raining running from car to car to find an open one,https://www.youtube.com/watch?v=VceotVEAXOQ
video4158,a man heads a soccer ball,https://www.youtube.com/watch?v=9D2BRZN7FN0
video4165,a baseball player being hit by a baseball,https://www.youtube.com/watch?v=3g4Rpk9GyIc
video4167,a group of mermaids are a swimming in the ocean with other water creatures,https://www.youtube.com/watch?v=_q-n8SjU_RI
video4177,a basketball game is occurring,https://www.youtube.com/watch?v=3ZKs4adQB8M
video4181,there are two dolls running and another small one followed them ,https://www.youtube.com/watch?v=Y-zR4QZvTXI
video4198,a young africa-american man speaks of his time playing basketball and his father s incredulity as to his son s career choice,https://www.youtube.com/watch?v=WoRxGP4KSos
video4201,a basketball player lands a shot from half court,https://www.youtube.com/watch?v=3UfulU8zxjA
