caption_index,video_id,sport,caption_id,caption
149,video2994,basketball,9,coby bryant slam dunks a ball during a basket ball game
150,video2994,basketball,10,guy in a purple jersey scores a basket in a basketball game
151,video2994,basketball,11,kobe bryant dunks between two other players
152,video2994,basketball,12,kobe bryant makes a slam dunk
153,video2994,basketball,13,kobe bryant making a slam dunk
154,video2994,basketball,14,kobe is playing basketball
155,video2994,basketball,15,players playing basket ball
156,video2994,basketball,16,the player shoots the ball perfectly
157,video2994,basketball,17,a woman talking on talkshow
158,video2994,basketball,18,coby bryant slam dunks a ball during a basket ball game
159,video2994,basketball,19,a clip of a kobe bryant basketball play
160,video3050,basketball,0,a basketball player hitting a last second shot
161,video3050,basketball,1,a basketball player is scoring a basket
162,video3050,basketball,2,a basketball player lands a shot from half court
163,video3050,basketball,3,a basketball player makes a long shot at the last second
164,video3050,basketball,4,a man describing a basketball shot
165,video3050,basketball,5,a man is playing basketball
166,video3050,basketball,6,a man makes a basket
167,video3050,basketball,7,a man throws a basketball into a hoop
168,video3050,basketball,8,a person shoots basketball in to the ring
169,video3050,basketball,9,a sportscaster talks about an exciting end of game play
170,video3050,basketball,10,basketball player makes a full court shot
171,video3050,basketball,11,basketball player throws ball to the basket
172,video3050,basketball,12,many people are playing a game
173,video3050,basketball,13,men playing basketball
174,video3050,basketball,14,people are playing basketball
175,video3050,basketball,15,players playing basketball
176,video3050,basketball,16,someone is commentating basketball
177,video3050,basketball,17,the man makes the buzzer beater
178,video3050,basketball,18,the people are playing basket ball
179,video3050,basketball,19,a basketball player is scoring a basket
180,video3075,basketball,0,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses
181,video3075,basketball,1,there is a man playing with a ball lonely
182,video3075,basketball,2,a person is showing a black car and a man is playing basketball
183,video3075,basketball,3,two friends play a game of h
184,video3075,basketball,4,a young man throws a very long basketball shot and misses
185,video3075,basketball,5,a kid attempts a very long basketball shot from a driveway
186,video3075,basketball,6,the boy throws the basket ball in to the basket from a very far distance
187,video3075,basketball,7,a man attempts a free throw shot from a driveway in a suburban neighborhood to a basketball hoop in a cul-de-sac at an impressive distance
188,video3075,basketball,8,man points at sidewalk and another man shoots a ball towards a hoop and misses
189,video3075,basketball,9,a person is standing in a driveway and shoots a basketball into a hoop from a far distance
190,video3075,basketball,10,two friends take a challenge of throwing the ball into the basket some distance away and one wins
191,video3075,basketball,11,a young man makes a long distance shot with a basketball
192,video3075,basketball,12,a kid shoots and makes the ball from far away
193,video3075,basketball,13,a guy shoots a basketball from the driveway at a far distance from the basketball hoop
194,video3075,basketball,14,man is showing his basketball skills outdoors
195,video3075,basketball,15,person is having fun with other person and playing basketball
196,video3075,basketball,16,a couple of boys are playing basketball trick shots in the driveway
197,video3075,basketball,17,the boys play basketball in the driveway of the house
198,video3075,basketball,18,a person is throwing a ball out side
199,video3075,basketball,19,a person points to a basketball court in the street from his driveway another young man comes on the screen and in a tshirt
200,video3541,basketball,0,three basketball players in orange shirts perform fantastic moves
201,video3541,basketball,1,a team of skilled basketball players are demonstrating their skills on the court
202,video3541,basketball,2,basketball players are all practising in indoor stadium
203,video3541,basketball,3,there are some people playing basket ballwith tricks
204,video3541,basketball,4,there are some people playing basket ballwith tricks
205,video3541,basketball,5,several people are doing wild stunts using a basketball in front of a crowd of people
206,video3541,basketball,6,young men try to dunk the ball with help from a spring board
207,video3541,basketball,7,the men fly in the air and do a trick on the goal
208,video3541,basketball,8,different men doing tricks while putting a basketball in the hoop
209,video3541,basketball,9,few guys showing a show on how differently they basket the ball
210,video3541,basketball,10,few persons makes some tricks on how they basket ball people watching them around
211,video3541,basketball,11,people completing amazing shots with basketballs outside with people watching
212,video3541,basketball,12,young athletic men are preforming very creative slam dunks on a basketball court
213,video3541,basketball,13,men in orange jerseys are participating in a dunk competition
214,video3541,basketball,14,men jump on trampolines while throwing a basketball ball at the loop
215,video3541,basketball,15,a man runs and leaps off a trampoline and dunks a basketball
216,video3541,basketball,16,some guys do some big crazy jumps while playing basketball
217,video3541,basketball,17,a boys in yellow dresses jumping and playing basket ball game audience watching displaying on screen
218,video3541,basketball,18,a boys in yellow dresses jumping and playing basket ball game audience watching displaying on screen
219,video3541,basketball,19,a group of players are playing with ball in a ground
220,video3628,basketball,0,a basketball highlight reel shows good and funny shots
221,video3628,basketball,1,a basketball player shoots a basket
222,video3628,basketball,2,a basketball players are having problems
223,video3628,basketball,3,a clip showcasing bloopers taking place during basketball games
224,video3628,basketball,4,a man is jumping
225,video3628,basketball,5,a professional basketball game with some audience members in costume
226,video3628,basketball,6,a video montage of basketball plays with music
227,video3628,basketball,7,basket ball players are running in the ground
228,video3628,basketball,8,basketabll players are being shown in short clips
229,video3628,basketball,9,basketball bloopers are shown
230,video3628,basketball,10,basketball players are shown falling and making mistakes during a game
231,video3628,basketball,11,basketball players fall during the game while some constumed fans in attendance dance
232,video3628,basketball,12,bloopers from basketball games and fan footage
233,video3628,basketball,13,the basketball failed at dunking
234,video3628,basketball,14,the basketball player falls on his butt
235,video3628,basketball,15,the funny incidents of grounds
236,video3628,basketball,16,various clips of basketball bloopers
237,video3628,basketball,17,basketball players are shown falling and making mistakes during a game
238,video3628,basketball,18,a video montage of basketball plays with music
239,video3628,basketball,19,the funny incidents of grounds
240,video3661,basketball,0,a basketball player does a dunk
241,video3661,basketball,1,a basketball player is making a dunk
242,video3661,basketball,2,a basketball player performs a slam dunk
243,video3661,basketball,3,a basketball player slam dunks the ball
244,video3661,basketball,4,a black man is performing a slam dunk in basketball
245,video3661,basketball,5,a clip of a basketball game is depicted
246,video3661,basketball,6,a man in a slamdunk contest
247,video3661,basketball,7,a man makes a slam dunk
248,video3661,basketball,8,a man slam dunks
249,video3661,basketball,9,a nba clip of a slam dunk
250,video3661,basketball,10,an nba player is making a slam dunk
251,video3661,basketball,11,announcers are talking about a basketball game
252,video3661,basketball,12,reactions at a basketball game are being shown
253,video3661,basketball,13,sports highlights are displayed
254,video3661,basketball,14,the crowd is cheering during a basketball game
255,video3661,basketball,15,this is a basketball game video
256,video3661,basketball,16,vince carter is participating in a dunk contest
257,video3661,basketball,17,this is a basketball game video
258,video3661,basketball,18,reactions at a basketball game are being shown
259,video3661,basketball,19,sports highlights are displayed
260,video3764,basketball,0,a basketball player dunking
261,video3764,basketball,1,a basketball player dunks the basketball into the basket
262,video3764,basketball,2,a basketball player making a dunk
263,video3764,basketball,3,a basketball player slam dunks the ball
264,video3764,basketball,4,a basketball player slam dunks the basket
265,video3764,basketball,5,a woman talking on talkshow
266,video3764,basketball,6,andrew wiggins slam drunks on omer asik in a nba game
267,video3764,basketball,7,commentators speak over a basketball game
268,video3764,basketball,8,footage of anthony wiggins playing ball
269,video3764,basketball,9,guy makes a basket in a basketball game
270,video3764,basketball,10,men are playing basketball
271,video3764,basketball,11,men are playing professional basketball
272,video3764,basketball,12,players are playing basketball
273,video3764,basketball,13,scene from a baseball game
274,video3764,basketball,14,the player dunks on the other man
275,video3764,basketball,15,two basketball teams face off while one player slam dunks the ball into the hoop
276,video3764,basketball,16,young men play college basketball
277,video3764,basketball,17,a basketball player dunking
278,video3764,basketball,18,a basketball player dunks the basketball into the basket
279,video3764,basketball,19,the player dunks on the other man
280,video3802,basketball,0,a basketball player shoots a layup
281,video3802,basketball,1,a group of men are playing a game of basketball
282,video3802,basketball,2,a gym full of men playing basketball
283,video3802,basketball,3,a man explains how he fought his way on to the team
284,video3802,basketball,4,a man gives commentary for a basketball game
285,video3802,basketball,5,a man makes a slam dunk on a basketball court
286,video3802,basketball,6,a man shoots a basketball
287,video3802,basketball,7,a player is placing the basketball into the basket in training
288,video3802,basketball,8,a short clip showing a basketball player practicing
289,video3802,basketball,9,basket ball game is progressing
290,video3802,basketball,10,bunch of guys playing basketball
291,video3802,basketball,11,guys playing basketball on court
292,video3802,basketball,12,he did a slam dunk
293,video3802,basketball,13,matt barnes is still in the nba
294,video3802,basketball,14,men practicing basketball in a gymnasium
295,video3802,basketball,15,people are playing basketball
296,video3802,basketball,16,people are playing sports in the ground
297,video3802,basketball,17,players playing basket ball in basket ball ground
298,video3802,basketball,18,someone is playing video game
299,video3802,basketball,19,a man gives commentary for a basketball game
300,video3986,basketball,0,a basketball player makes a slam dunk
301,video3986,basketball,1,a basketball team is playing a match
302,video3986,basketball,2,a man describes a video game
303,video3986,basketball,3,a man dunks a basketball in a video game
304,video3986,basketball,4,a player is jumping and putting the basketball into the basket
305,video3986,basketball,5,a replay of a basketball video game play
306,video3986,basketball,6,a video replay of a slam dunk during a video basketball game
307,video3986,basketball,7,a young man discusses and demonstrates the way to play a video game
308,video3986,basketball,8,baseket ball players by the basketball hoop
309,video3986,basketball,9,gameplay footage of nba live
310,video3986,basketball,10,gameplay footage of someone playing a basketball game
311,video3986,basketball,11,nba video game players competing with each other
312,video3986,basketball,12,playing a basket ball game
313,video3986,basketball,13,somebody scores while playing a basketball video game
314,video3986,basketball,14,the basketball game is only a video game
315,video3986,basketball,15,the man wearing jersey 22 made a basket in that game
316,video3986,basketball,16,video game characters are playing basketball on a court
317,video3986,basketball,17,somebody scores while playing a basketball video game
318,video3986,basketball,18,the man wearing jersey 22 made a basket in that game
319,video3986,basketball,19,baseket ball players by the basketball hoop
320,video3997,basketball,0,a basketball player goes up for a dunk but gets rejected by the other team
321,video3997,basketball,1,a man saves a ball in basketball
322,video3997,basketball,2,a player blocks a shot and a different player dunks in two different nba games
323,video3997,basketball,3,a vine is shown of different sport highlights
324,video3997,basketball,4,basketball players play on a court
325,video3997,basketball,5,highlights of a basketball game are playing
326,video3997,basketball,6,people are playing basket ball
327,video3997,basketball,7,people are playing sports
328,video3997,basketball,8,people are playing sports
329,video3997,basketball,9,playing volley ball and they keeping goal
330,video3997,basketball,10,professional basketball teams play a basketball game at a stadium
331,video3997,basketball,11,rap music plays as two basketball teams (one in blue and one in white) play and the camera cuts to another game
332,video3997,basketball,12,short replays of basketball games
333,video3997,basketball,13,some guy s are playing a basketball in a basket ball court
334,video3997,basketball,14,the basket ball match between the two teams
335,video3997,basketball,15,various basketball clips shown randomly of different games
336,video3997,basketball,16,video of a basketball player getting completely blocked by his opponent while going for a layup
337,video3997,basketball,17,highlights of a basketball game are playing
338,video3997,basketball,18,short replays of basketball games
339,video3997,basketball,19,highlights of a basketball game are playing
340,video4177,basketball,0,a basketball game is occurring
341,video4177,basketball,1,a basketball game is shown and talked about
342,video4177,basketball,2,a basketball player is dunking the ball
343,video4177,basketball,3,a basketball player slam dunks the ball
344,video4177,basketball,4,a basketball player slam dunks the ball
345,video4177,basketball,5,a man dunks a basketball
346,video4177,basketball,6,a man is jumping
347,video4177,basketball,7,a man is performing a slam dunk in basketball
348,video4177,basketball,8,basketball players making dunk shots
349,video4177,basketball,9,clips of players during nba games
350,video4177,basketball,10,highlights from a spurs and lakers game
351,video4177,basketball,11,highlights from basketball games
352,video4177,basketball,12,in a backetball game a player scores a slam dunk
353,video4177,basketball,13,men are playing basketball on the court
354,video4177,basketball,14,people playing professional basketball
355,video4177,basketball,15,some guy s are playing basket ball in a basket ball court
356,video4177,basketball,16,teams are playing basketball
357,video4177,basketball,17,video of athletes performing amazing plays
358,video4177,basketball,18,in a backetball game a player scores a slam dunk
359,video4177,basketball,19,teams are playing basketball
360,video4337,basketball,0,a basketball player is missing a shot
361,video4337,basketball,1,a basketball player is scoring a hoop
362,video4337,basketball,2,a basketball player performs a 3-pointer
363,video4337,basketball,3,a basketball player scoring
364,video4337,basketball,4,a three pointer is made in basketball
365,video4337,basketball,5,a three-point shot is scored in basketball
366,video4337,basketball,6,basket ball players playing a tournament
367,video4337,basketball,7,basketball coach walks away from court looking disappointed
368,video4337,basketball,8,basketball player are playing basketball
369,video4337,basketball,9,compilation of popular sports clips
370,video4337,basketball,10,man commenting about a basketball game
371,video4337,basketball,11,new orleans won the basketball game
372,video4337,basketball,12,people play a basketball game
373,video4337,basketball,13,scenes from a sports game
374,video4337,basketball,14,sports highlights are displayed
375,video4337,basketball,15,teams are playing basketball on the court
376,video4337,basketball,16,basketball coach walks away from court looking disappointed
377,video4337,basketball,17,scenes from a sports game
378,video4337,basketball,18,compilation of popular sports clips
379,video4337,basketball,19,a basketball player scoring
380,video4420,basketball,0,a basketball player dunks a basketball and is evaluated by a voiceover
381,video4420,basketball,1,a basketball player dunks the ball
382,video4420,basketball,2,a basketball player s wingspan is examined
383,video4420,basketball,3,a clip of a basketball player and davinci s vitruvian man are shown
384,video4420,basketball,4,a commentator talks about the wingspan of a basketball player
385,video4420,basketball,5,a man cooking food
386,video4420,basketball,6,a man is discussing the height of a particular basketball player
387,video4420,basketball,7,a man is jumping high above to put the ball
388,video4420,basketball,8,a narrator is speaking about the proportions of the human body
389,video4420,basketball,9,a team is playing a basketball game
390,video4420,basketball,10,basketball game highlights and advertisement
391,video4420,basketball,11,documentary about the basketball player
392,video4420,basketball,12,highlight from nba game
393,video4420,basketball,13,people are watching a movie
394,video4420,basketball,14,person talking about athlete
395,video4420,basketball,15,some men are playing a basketball game
396,video4420,basketball,16,some people are playing basketball
397,video4420,basketball,17,sports man playing in the ground
398,video4420,basketball,18,a clip of a basketball player and davinci s vitruvian man are shown
399,video4420,basketball,19,person talking about athlete
400,video4561,basketball,0,a basketball player does a slam dunk
401,video4561,basketball,1,a basketball player dunking
402,video4561,basketball,2,a basketball player scores points
403,video4561,basketball,3,a basketball player shoots a basket
404,video4561,basketball,4,a basketball player slam dunks the ball into the goal
405,video4561,basketball,5,a clip showing a basketball dunk
406,video4561,basketball,6,a commentator does a play by play of a basketball game
407,video4561,basketball,7,basketball players playing basketball in a stadium
408,video4561,basketball,8,basketball players put on a show
409,video4561,basketball,9,cartoons are laughing
410,video4561,basketball,10,compilation of popular sports clips
411,video4561,basketball,11,guy makes a basket
412,video4561,basketball,12,james harden dunks in a basketball game
413,video4561,basketball,13,men are playing basket ball
414,video4561,basketball,14,people are playing basketball
415,video4561,basketball,15,people are watching a sports game
416,video4561,basketball,16,professionals are playing basketball
417,video4561,basketball,17,a commentator does a play by play of a basketball game
418,video4561,basketball,18,a basketball player scores points
419,video4561,basketball,19,a basketball player does a slam dunk
420,video5208,basketball,0,in a basketball court players are trying to put the ball through a hoop
421,video5208,basketball,1,there is a man scoring in a basket ball game
422,video5208,basketball,2,two teams of basketball players are playing a game on a basketball court
423,video5208,basketball,3,superb basketball game is going on in the court before a large group of spectators
424,video5208,basketball,4,a short compilation of nba basketball highlights from two different games
425,video5208,basketball,5,a basketball sequence is displayed with a particularly fast paced action
426,video5208,basketball,6,a player runs bounces the basketball once leaps in the air dunks the ball in the hoop squats down and straightens up
427,video5208,basketball,7,a basketball player dunks on another player while one member of the other team hits a buzzer-beater
428,video5208,basketball,8,several men are throwing a basketball into a hoop and then running down a court to throw the ball in another hoop
429,video5208,basketball,9,players passing ball and scoring a point in a basket ball match
430,video5208,basketball,10,players passing the ball and shooting it in the basket in a basket ball match
431,video5208,basketball,11,in a basket ball match a player tackles the oponent and shoot a goal
432,video5208,basketball,12,a turnover turns into a nice dunk in transition during a basketball game
433,video5208,basketball,13,in the nba slam dunk in somebody s face can really hurt their feelings
434,video5208,basketball,14,a tall basketball player dunking and scoring a good three-point shoot
435,video5208,basketball,15,a blue and white color dress players playing game basket ball inside a stadium audience watching displaying on screen
436,video5208,basketball,16,a group of young men play an exciting game of basketball
437,video5208,basketball,17,various young men play an exciting game of basketball
438,video5208,basketball,18,a basketball game is played between two nba teams
439,video5208,basketball,19,some men on a court are playing basket ball
440,video5261,basketball,0,a volley ball player in yellow is performing basic basic playing skill crossing 2 players
441,video5261,basketball,1,a clip giving you tips on altering your speed in order ot play better basketball
442,video5261,basketball,2,it was a basket ball show where the yellow team made a goal
443,video5261,basketball,3,it was a reply of the match which played to see that they are some times slow and sometimes very fast
444,video5261,basketball,4,an offense basketball player makes a move to get around a defenseman passes the ball and gives his teammate a chance to shoot
445,video5261,basketball,5,a team wearing yellow playing basketball against a team wearing blue
446,video5261,basketball,6,basketball players are wearing yellow uniforms the other men are wearing blue the man talking is describing defence
447,video5261,basketball,7,a basketball game is going on a commentator is explaining how the players on the screen can help increase your skill
448,video5261,basketball,8,a basketball game is occuring the yellow team is performing very well
449,video5261,basketball,9,some tips to make your basketball game more effective to help win that game
450,video5261,basketball,10,a yellow dress player and blue dress player playing volley ball
451,video5261,basketball,11,basketball player fools the player guarding him and goes to make a basket
452,video5261,basketball,12,a man explains techniques for playing basketball over a slow-motion video of a professional basketball game
453,video5261,basketball,13,a man talks about different ways to make plays in a basketball game
454,video5261,basketball,14,a few men on a basketball court play against each other and one dunks
455,video5261,basketball,15,two teams playing basket ball on a court with one wearing yellow and other wearing blue jersey
456,video5261,basketball,16,a man is tallking about the way you play basketball and the effects it will have
457,video5261,basketball,17,basketball players wearing yellow and blue uniforms play basketball and a man talks
458,video5261,basketball,18,the players in yellow are scoring points in the game
459,video5261,basketball,19,a group of young men play a game of basketball
460,video5436,basketball,0,a basketball player celebrates with his team
461,video5436,basketball,1,a basketball player does a slam dunk
462,video5436,basketball,2,a basketball player is amped up during a game
463,video5436,basketball,3,a basketball player showing his anger
464,video5436,basketball,4,a basketball player slam dunking a ball
465,video5436,basketball,5,a boys basketball game
466,video5436,basketball,6,a clip from a basketball game
467,video5436,basketball,7,a magnificent basket ball play is continuing
468,video5436,basketball,8,a man dunks a basketball
469,video5436,basketball,9,a man is playing basketball
470,video5436,basketball,10,a man looks ticked during a clip from a basketball game
471,video5436,basketball,11,a player saying something very angry
472,video5436,basketball,12,basketball players are shooting basketball at a game
473,video5436,basketball,13,men are playing basketball
474,video5436,basketball,14,norris cole getting hype when teammate dunks on wizard player
475,video5436,basketball,15,some guy s are playing basket ball in a basket ball court
476,video5436,basketball,16,the man dunks on his opponent
477,video5436,basketball,17,two players are playing volley ball
478,video5436,basketball,18,some guy s are playing basket ball in a basket ball court
479,video5436,basketball,19,men are playing basketball
480,video5926,basketball,0,a basketball player is dunking
481,video5926,basketball,1,a clip of a basketball player football play and soccer play set to music
482,video5926,basketball,2,a man dunks a basketball in a hoop a football player slams into another player and a soccer goalie deflects a ball from the goal
483,video5926,basketball,3,a mash of sports and football clips
484,video5926,basketball,4,a sports clip about soccer
485,video5926,basketball,5,a team is playing a basketball game
486,video5926,basketball,6,a vine video of football clips both soccer and american football
487,video5926,basketball,7,athletes are doing sports like football and basketball
488,video5926,basketball,8,blooper clips are showing while music is playing in the background
489,video5926,basketball,9,clips from various sports games
490,video5926,basketball,10,men are playing sports
491,video5926,basketball,11,people are playing sports
492,video5926,basketball,12,players playing on the ground
493,video5926,basketball,13,scenes from a basketball game football game and soccer game provided by vine video
494,video5926,basketball,14,short sports clipsfootball and soccer
495,video5926,basketball,15,some guy s are playing basket ball in a basket ball court
496,video5926,basketball,16,some people are playing sports
497,video5926,basketball,17,sports vine clips of basketball football and soccer
498,video5926,basketball,18,the foootball players on a ground
499,video5926,basketball,19,various sports vines are shown
500,video5987,basketball,0,a basketball player makes a basket in a video game
501,video5987,basketball,1,a basketball video game where a player scores
502,video5987,basketball,2,a game is being played
503,video5987,basketball,3,a game is being played
504,video5987,basketball,4,a man playing video games
505,video5987,basketball,5,a person is playing a computer online game
506,video5987,basketball,6,a person is playing a video game
507,video5987,basketball,7,a video game of basketball
508,video5987,basketball,8,a video game of basketball
509,video5987,basketball,9,gameplay footage of someone playing a game
510,video5987,basketball,10,men are playing a game of basketball
511,video5987,basketball,11,people are playing basket ball
512,video5987,basketball,12,somebody playing a basketball video game
513,video5987,basketball,13,someone is playing a basketball game
514,video5987,basketball,14,someone is playing nba in the video and scores
515,video5987,basketball,15,two teams playing basketball on a video game
516,video5987,basketball,16,a game is being played
517,video5987,basketball,17,a person is playing a video game
518,video5987,basketball,18,a basketball player makes a basket in a video game
519,video5987,basketball,19,a basketball player makes a basket in a video game
520,video7453,basketball,0,a basketball player is jumping
521,video7453,basketball,1,a basketball player jumping and touching a backboard
522,video7453,basketball,2,a basketball player jumps and touches the backboard
523,video7453,basketball,3,a basketball player jumps to the top of the hoop board
524,video7453,basketball,4,a basketball player test his vertacle jump
