image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico
img_00079,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00079.jpg,A black dog and a woman in a red shirt playing tug of war .,0.32357174,pendiente,pendiente,pendiente,pendiente
img_00012,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,0.30525407,pendiente,pendiente,pendiente,pendiente
img_00094,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00094.jpg,A lady and her little girl are holding hands and walking up the sidewalk .,0.32546595,pendiente,pendiente,pendiente,pendiente
img_00025,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00025.jpg,A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture .,0.341443,pendiente,pendiente,pendiente,pendiente
img_00026,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00026.jpg,A boy wearing a jean jacket with his hand on his chest smiling at the camera .,0.3224553,pendiente,pendiente,pendiente,pendiente
img_00050,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00050.jpg,A climber walks along a snowy peak .,0.28846425,pendiente,pendiente,pendiente,pendiente
img_00070,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00070.jpg,A dark colored man is holding a protest banner in a busy city street with people staring from behind .,0.33375323,pendiente,pendiente,pendiente,pendiente
img_00054,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00054.jpg,A brown dog drinks from a body of water .,0.33630604,pendiente,pendiente,pendiente,pendiente
img_00074,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00074.jpg,A boy jumps from the top of a blue plastic slide .,0.30964392,pendiente,pendiente,pendiente,pendiente
img_00048,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00048.jpg,A group of people hold drinks and point at the camera .,0.3358147,pendiente,pendiente,pendiente,pendiente
img_00148,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00148.jpg,A girl and guy holding signs and hugging .,0.35802406,pendiente,pendiente,pendiente,pendiente
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,0.30596283,pendiente,pendiente,pendiente,pendiente
img_00053,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00053.jpg,A person behind some bags inside an igloo .,0.32523853,pendiente,pendiente,pendiente,pendiente
img_00105,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00105.jpg,A child is sliding into a small pool .,0.2827925,pendiente,pendiente,pendiente,pendiente
img_00069,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00069.jpg,A skateboarder jumps off his skateboard in midair in hopes of landing back on it .,0.28934926,pendiente,pendiente,pendiente,pendiente
img_00103,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00103.jpg,"A dog runs holding a yellow dog toy in fall , bench in the background .",0.3082693,pendiente,pendiente,pendiente,pendiente
img_00077,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00077.jpg,A guy with a scarf and woven toboggan .,0.29182905,pendiente,pendiente,pendiente,pendiente
