image_id,caption_generado,bleu_simple,rouge_l,cobertura_lexica
img_00071,a man in a blue shirt is standing in a classroom,0.26186868686868686,0.4444444444444444,0.15625
img_00072,a group of people standing around a table with stuffed animals,0.1159090909090909,0.30769230769230765,0.09375
img_00073,a man jumping into a swimming pool,0.6708333333333334,0.631578947368421,0.2222222222222222
img_00074,a boy jumping on a slide in a playground,0.5967261904761905,0.7368421052631577,0.25
img_00075,a man is throwing a fire with a stick,0.3829365079365079,0.4761904761904762,0.25
img_00076,a dog is walking in the grass near a tree,0.23055555555555554,0.4347826086956522,0.24
img_00077,a man in a hat and scarf standing in the snow,0.4441287878787879,0.5454545454545454,0.2413793103448276
img_00078,a young boy in a village in the mountains of nepal,0.2368686868686869,0.33333333333333326,0.23809523809523808
img_00079,a man walking a dog in a field,0.30505952380952384,0.39999999999999997,0.0967741935483871
img_00080,a surfer rides a wave in the ocean,0.5053571428571428,0.4444444444444445,0.2
img_00081,a mountain biker rides down a steep slope,0.1919642857142857,0.35294117647058826,0.19047619047619047
img_00082,a woman walking down the street in front of a bus,0.5957070707070706,0.45454545454545453,0.28
img_00083,a group of people walking down a street at night,0.7356150793650793,0.8571428571428572,0.34615384615384615
img_00084,a man jumping over a pile of snow,0.5866071428571429,0.75,0.23076923076923078
img_00085,soccer player in action during the match,0.3476190476190476,0.33333333333333326,0.23076923076923078
img_00086,a couple of people sitting on a bench,0.1919642857142857,0.3157894736842105,0.13333333333333333
img_00087,a man in a red car with a helmet on,0.2895833333333333,0.5454545454545454,0.17857142857142858
img_00088,a woman in a black and white dress and hat walks down the street,0.45845820845820845,0.5,0.3333333333333333
img_00089,a group of people walking down a sidewalk,0.1919642857142857,0.39999999999999997,0.1111111111111111
img_00090,a woman walking along the shore of a lake,0.19791666666666666,0.3333333333333333,0.2
img_00091,a small dog running with a toy in its mouth,0.43432539682539684,0.7200000000000001,0.27586206896551724
img_00092,a young girl running through the water under a pier,0.4326388888888889,0.5714285714285713,0.28
img_00093,a little girl in a party hat and some balloons,0.3486111111111111,0.5454545454545454,0.17647058823529413
img_00094,a woman and child walking down the street,0.36755952380952384,0.5714285714285714,0.1891891891891892
img_00095,a boy standing on the side of a building,0.1423611111111111,0.42857142857142855,0.16666666666666666
img_00096,a person sitting on a snow covered beach,0.39672619047619045,0.3478260869565218,0.1111111111111111
img_00097,people in a train car with green hands,0.29464285714285715,0.2857142857142857,0.15789473684210525
img_00098,two small dogs playing with a toy in the grass,0.39861111111111114,0.5263157894736842,0.34615384615384615
img_00099,a young boy running after a ball,0.3119047619047619,0.5,0.12903225806451613
img_00100,"the blue mountains, australia",0.0625,0.16666666666666666,0.030303030303030304
img_00101,a little boy in a toy car,0.5434523809523809,0.8571428571428571,0.25
img_00102,two girls sitting in the back of a car,0.1423611111111111,0.3157894736842105,0.12121212121212122
img_00103,a dog running with a ball in its mouth,0.4141865079365079,0.7368421052631577,0.30434782608695654
img_00104,a little girl running in the grass,0.425,0.631578947368421,0.3333333333333333
img_00105,a couple of people sitting in a yard,0.1294642857142857,0.375,0.08333333333333333
img_00106,"a snowboarder in mid mids, flying through the trees",0.29613095238095233,0.5,0.20689655172413793
img_00107,a man and a baby playing in the grass,0.2648809523809524,0.3333333333333333,0.15151515151515152
img_00108,a man standing on a ledge,0.37083333333333335,0.45454545454545453,0.13333333333333333
img_00109,two dogs playing with a ball in the grass,0.3516865079365079,0.4444444444444444,0.25806451612903225
img_00110,a young girl sitting on a slide in a playground,0.3173611111111111,0.5263157894736842,0.23809523809523808
img_00111,a group of people playing instruments in a room,0.1701388888888889,0.3333333333333333,0.11764705882352941
img_00112,a black dog running in the snow,0.3892857142857143,0.7999999999999999,0.24
img_00113,a woman playing a violin,0.6666666666666666,0.5555555555555556,0.17391304347826086
img_00114,a woman sitting in a car eating food,0.19642857142857142,0.4210526315789474,0.12
img_00115,a woman and a man are sitting on a path,0.1527777777777778,0.33333333333333326,0.09090909090909091
img_00116,a man in a red and white hat and scarf,0.45416666666666666,0.5,0.2916666666666667
img_00117,a bird standing on the beach,0.575,0.625,0.2
img_00118,a young boy playing on a playground,0.2976190476190476,0.47058823529411764,0.20833333333333334
img_00119,a little girl jumping on a bed,0.5583333333333333,0.6666666666666666,0.2
img_00120,two boys are standing on the sidewalk with their skateboards,0.075,0.16666666666666669,0.11538461538461539
img_00121,a bird perched on a hand full of sunflower seeds,0.3145833333333333,0.5454545454545454,0.2692307692307692
img_00122,a man climbing on a rock,0.26666666666666666,0.42105263157894735,0.10344827586206896
img_00123,a person riding a dirt bike on a track,0.519345238095238,0.782608695652174,0.2
img_00124,the crowd cheers as the football team takes the field,0.125,0.25,0.08333333333333333
img_00125,person of the united competes in the pole vault during the women's high jump final at the iaaf world championships in doha,0.15365612648221344,0.20689655172413793,0.21875
img_00126,a skier jumps off a jump during the first run of the men's downhill,0.1716117216117216,0.3809523809523809,0.23809523809523808
img_00127,a dog standing on a wooden dock in the water,0.3145833333333333,0.5,0.2413793103448276
img_00128,a black dog standing in a field with a stick in its mouth,0.6546328671328671,0.7407407407407408,0.42857142857142855
img_00129,a young girl running down a hallway,0.825,0.75,0.3
img_00130,a group of children sitting on the floor,0.7139880952380953,0.6666666666666665,0.25925925925925924
img_00131,a dog running through the snow covered ground,0.2589285714285714,0.4,0.23076923076923078
img_00132,a large crowd of people,0.4083333333333333,0.5714285714285714,0.17391304347826086
img_00133,two dogs running in the snow with a toy,0.2926587301587301,0.3157894736842105,0.20588235294117646
img_00134,a person is parading in the snow,0.2619047619047619,0.5,0.11904761904761904
img_00135,a man is sitting on the stairs at night,0.2881944444444444,0.47058823529411764,0.21212121212121213
img_00136,a group of people playing on a bed,0.44494047619047616,0.7368421052631579,0.35294117647058826
img_00137,a white bird with its wings spread out in the water,0.3458964646464646,0.5217391304347826,0.25925925925925924
img_00138,two dogs playing in the water at the beach,0.5768849206349206,0.6666666666666667,0.1935483870967742
img_00139,"person, left, lands a punch on person during their fight",0.025,0.125,0.06666666666666667
img_00140,a woman holding a baby,1.0,0.6666666666666666,0.16666666666666666
img_00141,two dogs are looking through a fence,0.8875,0.8750000000000001,0.35
img_00142,a girl is playing with a dog,0.22023809523809523,0.4210526315789474,0.13333333333333333
img_00143,two children playing in a water sp,0.14285714285714285,0.15384615384615385,0.15384615384615385
img_00144,a dog running across a field with a ball in its mouth,0.21401515151515152,0.4210526315789474,0.2777777777777778
img_00145,a group of men playing a game of hurling,0.16666666666666666,0.1904761904761905,0.10526315789473684
img_00146,a man jumping on a bike in front of a building,0.33737373737373744,0.5263157894736842,0.2608695652173913
img_00147,a boy is doing a trick on a skateboard,0.6185515873015872,0.823529411764706,0.19230769230769232
img_00148,a man and woman hugging,0.5208333333333334,0.9090909090909091,0.2631578947368421
img_00149,a boy jumping up to the hoop with a basketball hoop,0.4078282828282829,0.6086956521739131,0.34782608695652173
img_00150,a man is snowboarding in the woods,0.3392857142857143,0.47058823529411764,0.17647058823529413
img_00151,a pool with a dog jumping in it,0.29464285714285715,0.375,0.2631578947368421
img_00152,two boys sitting on the floor with their feet up,0.075,0.13333333333333333,0.09090909090909091
img_00153,a small white plane,1.0,0.4444444444444445,0.13793103448275862
img_00154,a dog digging in the sand,0.7083333333333334,0.7499999999999999,0.20689655172413793
img_00155,two people in a greenhouse,0.6041666666666666,0.5454545454545454,0.15625
img_00156,a boy fishing in the water at the pier,0.34375,0.3846153846153846,0.2
img_00157,a group of kids sitting on the floor,0.1294642857142857,0.2727272727272727,0.09090909090909091
img_00158,a group of children sitting on a bench,0.2232142857142857,0.35294117647058826,0.13157894736842105
img_00159,"person of the stanford stanford stanford football team runs the ball during the stanford stanford game on october 29, 2003",0.11315789473684211,0.2162162162162162,0.18181818181818182
