image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5
img_00018,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00018.jpg,A dog looks warily at the brown dog investigating his area .,A large brown dog is looking at a medium sized black dog .,A small black dog looks at a larger brown dog in a grassy field .,The big brown dog looks at the small black dog in tall grass .,There is a big dog looking at a little dog .
img_00019,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00019.jpg,three children in a field with white flowers,"Three children , one with a stuffed kitten , in a field of flowers .",three children play in the garden .,Three children pose among wildflowers .,Three kids palying with a toy cat in a garden .
img_00020,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00020.jpg,"a boy in a red shirt , in front of a long blue wall , raises his eyebrow at the camera","A boy in a red shirt with stripes standing near a blue , brick wall with handicap signs .",An African American boy stands in front of a blue building in the handicapped space .,The boy in the orange shirt looks backwards .,The boy in the red shirt is next to a blue wall .
img_00021,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00021.jpg,A brown dog is carrying a wet stick on the shore of the ocean .,A dog bounds across the sandy beach with a stick in his mouth and water splashing off his paws .,"A wet , blond dog carries a stick on the shore .",The dog is running along the beach next to the ocean with a stick in its mouth .,"The wet , brown dog has a stick in his mouth and is running in the sand next to the water ."
img_00022,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00022.jpg,Two dogs are racing on a ractrack .,two dogs race across the track .,Two greyhounds race,Two greyhounds with muzzles race along the inside curb of a railed dirt track .,Two racing dogs run around a track .
img_00023,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00023.jpg,A baseball pitcher with Shelton on his shirt throws the ball .,"A baseball player in a black and orange shirt , and with a glove on , pitches the ball .",A male dressed in a sports outfit tries to catch a baseball .,A man playing baseball .,The baseball player is running after the ball .
img_00024,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00024.jpg,A brown dog wades through water and walks toward a rock .,A dog has waded through shallow water to reach a rock outcropping .,A light brown dog is splashing in the water with its paw .,A small brown dog is about ready to exit the water after a swim .,A yellow dog in shallow water .
img_00025,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00025.jpg,A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture .,A group of people are standing together outside as one takes a photograph .,A group of school girls are standing together while one is taking pictures .,A group of young women stand together .,Girls in school uniforms .
img_00026,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00026.jpg,A boy wearing a jean jacket with his hand on his chest smiling at the camera .,a boy with a bruised nose and writing on his hands is standing in a video rental store .,A boy with writing on his hand is standing in a store .,A young man in a jean jacket smiles for the camera inside a store .,A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos .
img_00027,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00027.jpg,A group of people in front of a house .,"A man in stripes , a woman in sunglasses , and a child in a blue hat in front of a brick building .",A woman in sunglasses and a blue flowered shirt stands while a boy and a man sit nearby .,A woman wearing sunglasses and a flowered shirt looks to the left .,"Three adults and one child are waiting outside of a building , perhaps a school ."
img_00028,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00028.jpg,A woman stands in front of a display case and another woman looks at a digital camera,A woman stands tall in front of a glass display while another woman takes a picture of something .,A woman stands with her arms out at her sides while another takes a picture .,A woman stands with her arms out in a store while another woman holds a camera .,One woman is taking a picture and another woman is standing sideways with her arm out .
img_00029,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00029.jpg,A snowboarder jumps high into the air off of a snowy ramp .,A snowboarder jumps off a ramp .,Man on a snowboard performing a trick high in the air .,Person in a purple coat making a jump on a snowboard .,Snowboarder jumps off high ramp over icy landscape .
img_00030,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00030.jpg,A group of mountain climbers,A group of people walking in a line through the snow toward a mountain .,A line of people are making their way through snow covered mountains .,People are walking through a snow covered field with a mountain the background .,People facing mountains in the snow .
img_00031,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00031.jpg,A black and white dog is jumping through a black and white hoop .,A black and white dog jumps through a black and white hoop .,A brown and white dog jumping through a black and white hoop .,A dog jumping through a black and white hoop .,A dog jumping through a ring .
img_00032,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00032.jpg,"A girl using a laptop , another girl , and a boy looking at his cellphone .",A group of people sit against a building and use electronics .,Three people sit near a street .,Three people sitting in front of a store on a bench .,Three young people sit outside and engage with electronic devices .
img_00033,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00033.jpg,A dog races while wearing number 6 .,A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track .,a muzzle greyhound dog running on a track,A tan greyhound wearing a gold shirt with a number on it runs down a track .,muxzzled greyhound leaping in race with yellow jacket .
img_00034,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00034.jpg,A group of people stand at the edge of a cliff over the ocean .,A group of three boy scouts rest on a bluff overlooking the ocean .,Three men stand on a cliff overlooking a lake .,Three scouts are on top of a cliff overlooking the ocean .,Two men are sitting on a rock near the ocean with another man standing nearby .
img_00035,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00035.jpg,A couple holding hands and another woman are walking down a wooded trail .,A couple holding hands and a woman standing beside them pose on a tree lined dirt road .,Three friends on a stroll in the forest .,Three people stand on a path through the woods .,Two women and a man posing on a rural path
img_00036,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00036.jpg,A car sponsored by Riwal is smoking its tires on a wet road .,A race car drives along a track in the rain,A racing car is driving around a wet track with its headlights on .,A small race car with advertising is driving on a rainy track .,A sponsored race car is driving with lights on a wet raceway .
img_00037,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00037.jpg,A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle .,A man bicycles down the street and points his finger,A man holds an object with his hand while riding his bike down the street .,A man with long hair riding a bicycle gives the peace sign .,Man in blue shirt and black cap riding bike down street flashing peace sign
img_00038,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00038.jpg,A crowd of people waving red flags are passing under a bridge .,A group of people walk down the street carrying red flags .,"A large group of people walking down a street , some carrying flags or banners .",Many people walking together on pavement near a brick building with other people looking on .,many people walk in the street .
img_00039,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00039.jpg,A man in sunglasses gets ready to pull a chair out to sit down for his meal .,A man wearing sunglasses stands by a table at a cafe .,Man about to pull out chair and sit down at a restaurant .,Man at eatery getting ready to sit down .,The large man grabs a seat at a restaurant .
img_00040,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00040.jpg,A boy holding a racket is standing in the grass .,A boy in a purple shirt and blue jeans is standing in the grass holding a round toy with a handle .,A boy playes with a stringless racket in his backyard .,a boy walks through the lawn .,A child in purple clothing is playing with a toy inside a yard with other toys and a fence .
img_00041,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00041.jpg,Two blond girls are playing together .,Two girls enjoy themselves whilst wind blows through their hair .,Two girls with long hair jumping on a trampoline .,Two little blonde girls twirl their hair .,Two little girls are playing on a trampoline .
img_00042,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00042.jpg,Four bicyclists ride along a dirt road between two wire fences .,Four cyclists on a country trail are passing by an electricity pylon .,The four bicyclists are riding through the desert .,three bikers bike across the dry land .,Three cyclists ride near mountain .
img_00043,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00043.jpg,A dog climbing a steep dirt hill .,A dog climbs a hill .,a great Dane climbing a steep hill,A light brown dog is running up .,A light dog climbing a wall of dirt .
img_00044,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00044.jpg,A child spins on a merry-go-round .,Childern are playing on a merry go round as adults on a bench watch them .,Children play on a merry-go-round as adults look on from a bench .,Fathers watch as their children enjoy the spinning merry-go-round .,Two kids sit in the middle of a playground toy that spins around them .
img_00045,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00045.jpg,a brown dog is jumping up at a woman who is wearing a brown skirt .,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera .,A tan dog jumping up at a woman in a skirt and a black and tan dog walking away .,A yellow dog jumps to greet a woman .,One dog is jumping at the lady while the other walks away .
img_00046,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00046.jpg,A man in the dooorway of a bus looking onward .,"A man standing at the door of a vehicle , with another sitting , glancing out the window .",People ride a bus or trolley .,some people riding an old bus,Three passengers on a train car .
img_00047,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00047.jpg,A little girl is peaking out from behind a tree .,A little girl peering out from behind a tree .,A young girl hiding behind a tree in a forest .,A young girl peeking out from behind a tree in a wooded area .,A young girl wearing a striped dress peeks out from behind a tree .
img_00048,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00048.jpg,A group of people hold drinks and point at the camera .,A group of people are holding up drinks and pointing to the camera .,A group of young people holding bottles and pointing at the camera .,several young people posing for this photo holding beers,Young adults stand pointing at the person taking the picture .
img_00049,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00049.jpg,A border collie jumps over a bed with a tennis ball in its mouth .,A dog jumping with a ball in its mouth .,A dog jumps on a bed and catches a green toy .,Border collie jumps in the air and catches a tennis ball .,The black and white dog jumps with a tennis ball in its mouth .
img_00050,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00050.jpg,A climber walks along a snowy peak .,A man climbs over snow covered rocks by a shore .,A man is standing on a snowcapped mountain .,A person hikes down a snowy mountain .,There man on top of an snow covered mountain with a lake behind him .
img_00051,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00051.jpg,A white dog chasing a black dog across the grass .,A white dog is following a black dog through the grassy area .,"There are two dogs , black and white , and the black one is jumping .","Two dogs running in a grassy , fenced in area surrounded by trees .",Two dogs running through a yard with a forest in the distance .
img_00052,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00052.jpg,A black race car spins its tires while smoke comes out .,A black race car starts up in front of a crowd of people .,A broken down car during a race,Race car smoking very badly on the racetrack .,Red Bull-branded race car leaves smoke behind it in front of a crowd .
img_00053,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00053.jpg,A person behind some bags inside an igloo .,a snowy cave full of luggage,"Inside the igloo , the young man gets ready for his overnight stay .",Some backpacks piled up in an ice cave with a person dressed in black in the background .,There is something visible through the hole in the wall .
img_00054,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00054.jpg,A brown dog drinks from a body of water .,A brown dog is starting to walk into water .,A brown dog steps into murky water .,A dog getting into some water .,A dog putting his legs into a pond
img_00055,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00055.jpg,A man wearing a black hat is walking through a busy city street .,A silhouette of a man in a hat on a busy city street .,Person with black hat and black coat near buildings with signs .,Three people in a crowded city area .,Thre is a shot of man with his back turned in a city .
img_00056,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00056.jpg,A brown dog chases something a man behind him threw on the beach .,A man and a dog on the beach .,A man is interacting with a dog that is running in the opposite direction .,A man playing fetch with his dog on a beach .,A man walking behind a running dog on the beach .
img_00057,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00057.jpg,A woman taking a photo standing next to a tall man and in front of another man who is also taking a photo .,Three people are outdoors taking pictures .,Three people holding cameras are standing on a dirt trail with grass on the side of it .,Three people taking pictures with their cameras,Two people are taking pictures while a third is holding a camera .
img_00058,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00058.jpg,A man is skiing down a mountain with another large mountain behind him and a river between the mountains .,A man is skiing down a snowy hill with a large mountain in the background .,A man skiing down a snow covered mountain .,A person skis down a snowy mountain .,A skier goes down a hill with a mountain as a backdrop .
img_00059,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00059.jpg,A boy climbing a rock face,A climber is standing on the rock face next to the pink rope .,A man climbing a cliff with a rope .,A man climbs steep rocks .,A man rock climbing in the forest surrounded by light .
img_00060,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00060.jpg,A brown dog is standing in a lake .,A brown dog is swimming in a creek .,A dog swimming in a pond,Dog swimming in body of water,The brown dog is swimming in the water .
img_00061,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00061.jpg,A dog plays with a toy in the grass .,A rotweiler playfully rolls over int he grass with a toy .,Black and tan dog playing with a toy and rolling on the grass .,Dog chewing up ball while rolling in grass,The dog is resting after a game of fetch .
img_00062,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00062.jpg,A elderly man in a straw hat is sitting on a bench .,a elderly man sits alone on a park bench .,An old man in a straw hat sits on a park bench .,The old man in the brown hat is sitting on the bench .,White haired man in gray sweater and a straw hat sitting on a bench under a tree .
img_00063,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00063.jpg,"A dark-haired man in a red t-shirt , with a beard , playing the guitar in a park .",A man in a red shirt plays guitar in a park .,A man is sitting and playing guitar on the grass .,"a man sitting in the grass , playing his guitar , wearing a red shirt",a man wearing red plays his guitar on the grass .
img_00064,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00064.jpg,Two black dogs are jumping and playing with a yellow tennis ball in the snow .,Two dog play in the snow .,"Two dogs , one with a tennis ball in his mouth , play together in the snow .",Two dogs playing with a ball in the snow .,Two dogs play with a tennis ball in the snow .
img_00065,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00065.jpg,An attractive woman holds a halo above her head .,A woman in a dress raises her arm over her head .,A woman is looking at the ceiling while taking off her hat .,"A woman looking up towards a wide ring , she is holding over her head , a drink in her other hand .",A woman looking upward with her hand above her head .
img_00066,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00066.jpg,An elderly person with a white hat is reading a paperback book .,An elder woman in a hat and scarf is looking through a book she has in her hands .,An older woman wearing a hat reads a book .,An old lady consulting a paperback book .,A woman in a white hat reading a book .
img_00067,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00067.jpg,A looker on catches a motocross bike on its side after a spill while another races by .,A man on a dirt bike zipping away while another one slips to the ground and a third man in a yellow jacket looks on .,A man on a motorcycle making a tight turn,A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike .,Bike rider is looking at a accident of other sports bike rider .
img_00068,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00068.jpg,The men are climbing .,Two men are lying in red cots on the side of a mountain .,Two men are sleeping on makeshift beds on the side of a cliff .,Two men in cots hanging from a cliff,Two mountain climbers are smiling on the mountainside .
img_00069,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00069.jpg,A skateboarder jumps off his skateboard in midair in hopes of landing back on it .,A teenage boy is performing a trick with his skateboard .,A young man is flipping a skateboard during a trick .,a young skateboarder doing tricks in the air,The man is performing a trick on a skateboard near onlookers .
img_00070,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00070.jpg,A dark colored man is holding a protest banner in a busy city street with people staring from behind .,A man in a blue and yellow jacket holding a religious sign stands in a street with people behind him on the sidewalk .,A man is holding a religious poster .,A man wearing a hat holding a sign with writing on it .,Man standing on the street holding a sign
img_00071,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00071.jpg,A man is wearing a blue shirt with the word Mambo on it .,"A man is wearing a shirt that reads , "" Mambo "" with an image of a baby and a teddy bear .",A man wears a t-shirt showing a baby humping a stuffed bear .,A person wearing a blue mambo shirt has his back to the camera .,The man is wearing a blue shirt .
img_00072,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00072.jpg,A man in black shirt sits on a stool while trying to sell stuffed animals .,A man is outside selling various toys .,A vendor sells children 's toys as visitors walk by .,A vendor sells inflatable toys and stuffed animals on the sidewalk .,Man sits on stool beside toys .
img_00073,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00073.jpg,A guy in navy blue and yellow shorts jumping into a pool .,A man catches a football in midair while jumping into a pool .,A man in swim trunks is jumping into a pool while in a strange pose,Antics in a covered pool .,People are diving into a swimming pool .
img_00074,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00074.jpg,A boy jumps from the top of a blue plastic slide .,A child jumps over the slide portion of playground equipment shaded by trees .,A little boy in a striped shirt jumps from a blue slide .,A little boy is jumping off the top of a slide .,A young boy jumps on a slide in a backyard .
img_00075,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00075.jpg,A man is playing with a fire baton in the day light .,A man juggling fire .,A man stands near a playground .,Man throws flames outside .,The guy is holding a black stick in front of a playground .
img_00076,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00076.jpg,A brown dog playing with bubbles .,A brown dog walking across a lawn as bubbles float by .,A dark brown dog is looking at bubbles while walking on green grass .,Dog catching bubbles on the grass .,The brown dog is chasing and popping bubbles .
img_00077,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00077.jpg,A guy with a scarf and woven toboggan .,A man in black and white cap and scarf .,A man wearing a scarf and knitted hat is smiling .,A person wearing a hat and scarf looks to the right .,The man has a poof on top of his woolen hat .
img_00078,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00078.jpg,A boy sitting down smiling for the picture .,A child holding some shoes .,A child in blue and wearing a hat smiles .,A young boy smiling and holding sandals .,The boy is wearing a hat and holding sandals .
img_00079,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00079.jpg,A black dog and a woman in a red shirt playing tug of war .,A dog is pulling on one end of a rope and a girl is pulling on the other .,A woman plays tug-of-war with her black dog in a brown landscape surrounded by trees .,A woman plays with her rottweiler dog outside .,A woman and a dog playing outside
img_00080,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00080.jpg,A group of people surf on a very large wave .,a group of surfers catching a wave,People surfing and attempting to surf in the ocean on a big wave .,Several people are surfing on a wave in the sea .,Surfers on a huge ocean wave at sunset .
img_00081,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00081.jpg,A man rides a bike on a dirt path .,A person biking through the woods .,A person dirtbikes along a muddy trail .,Dirt bike rider riding down the slope .,Person rides a dirt bike down a dirt hill .
img_00082,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00082.jpg,There are two women crossing the street in front of two buses .,Two women in headwraps are hurrying past buses .,Two women walk in front of a bus to cross the road .,Two women walk on the street in front of two buses .,Two women with their heads covered crossing the road in front of buses .
img_00083,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00083.jpg,A group of people walk down a city street at night .,A group of people walking down the street with one on the phone in a green hat .,"Four people are walking along a city sidewalk , while the one in the green hat talks on a cellphone .",Four people are walking on a sidewalk .,four people walk down a sidewalk at night
img_00084,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00084.jpg,A skateboarder is jumping almost as high as a building .,A snowboarder jumping off a tall brick building .,a snowboarder jumps over a pile of snow .,Snowboarder jumps off rail over snowpile .,The snowboarder is doing a stunt high in the air at night .
img_00085,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00085.jpg,A man in a red soccer uniform getting ready to kick the ball .,A man in a red uniform plays in a soccer game .,A man in a red uniform runs towards a soccer ball on a field .,"A player in a red uniform gets ready to kick the ball during a soccer match , as the crowd watches .",A soccer player in red uniform runs after a soccer ball .
img_00086,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00086.jpg,A boy cheerleader has a girl cheerleader on his knee .,A female cheerleader sits on the knee of a male cheerleader .,cheerleaders taking a break,The cheerleader in red and white is sitting on the knee of a man also wearing red and white .,Two cheerleaders are sitting at a football game .
img_00087,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00087.jpg,A driver is at the wheel of a race car .,A man inside a red race car gives a thumbs up sign .,A man is in a red race car while another man is at the back of it .,A man is smiling whilst sitting inside a red racing car .,A race car driver smiles and gives the thumbs up before a race .
img_00088,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00088.jpg,A girl wearing white polka dots and black boots walks and a woman in a blue outfit hurridly walks behind her .,A hip young woman down the street with a woman in a kimono walks behind her .,A woman in boots with a big purse walks down the street followed by a woman in blue .,a woman walks with her big purse .,Women walk down the street .
img_00089,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00089.jpg,A man and woman walk away from the camera as a redheaded man walks in the other direction .,"Pedestrians walk on a sidewalk next to a grassy , wooded field .",People are walking around a park area .,People meandering around in a grassy area with trees .,Young adults dressed casually walk around in a field .
img_00090,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00090.jpg,A blonde woman in blue shorts walks on the beach carrying her shoes .,A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean .,Blond woman with blue shorts walks along beach carrying shoes in one hand .,Woman carrying her shoes on a beach .,Woman in blue shorts walking barefoot on the beach
img_00091,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00091.jpg,A cute puppy fetches a yellow ring chew toy in the yard .,A puppy is running across the grass with a yellow toy in its mouth .,A tan dog is running through the grass with a yellow toy in its mouth .,A tan dog with a red collar runs with a yellow toy in its mouth .,Fluffy golden puppy holding yellow rings in mouth while running through grass
img_00092,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00092.jpg,a boy in blue shirt splashing in water under a dock,A laughing girl holding a bucket splashes in the ocean,A young girl plays under a pier with a blue bucket .,Girls with a blue bucket is playing and splashing in the ocean water .,The girl with the blue bucket splashes beneath the pier .
img_00093,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00093.jpg,A little girl dances in a room with balloons on the floor .,A young girl dancing in her socks on a wooden floor strewn with pink balloons .,"Child with pink strings on head dancing surrounded by confetti , balloons .",Little Girl in brown shirt and bluejean skirt dances on wood floor .,The blond girl is dancing inside a house .
img_00094,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00094.jpg,A lady and her little girl are holding hands and walking up the sidewalk .,A mother and child run hand in hand through Chinatown in an American City .,a woman and a child both wearing red outfits walking up a street,Child in red holding the hand of person in red coat walking on sidewalk under awnings .,woman and little girl wearing red in Asian area
img_00095,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00095.jpg,a boy in a blue shirt is walking along a tan and blue wall,A boy in stripes walking along a ledge .,a boy scales the wall .,A child in a striped shirt is walking along a wall .,Boy in striped t-shirt walking along a ledge .
img_00096,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00096.jpg,A tent is being set up on the ice .,Two men are about to enter an ice fishing tent on a snow covered lake .,two men setting up a blue ice fishing hut on an iced over lake,"Two men , standing on an ice , looking into something covered with a blue tarp .",Two people standing outside a blue tent structure on a snowy surface .
img_00097,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00097.jpg,A few girls with green foam statue of liberty hats on a train,Some young adults are wearing green foam statute of liberty crowns .,Some young people take photos of each other while in New York .,Three woman with statue of liberty hats and taking a picture .,Two woman wearing statue of liberty hats get their picture taken in a subway .
img_00098,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00098.jpg,Two brown dogs are playing with a red ball .,Two brown dogs fight over a red ball while playing in the grass .,Two brown dogs run over the grass carrying a red toy .,Two daschunds play with a red ball,Two little wiener dogs are running on the grass carrying a red ball between them .
