video_id,frame_file,sport,frame_number,caption_by_blip
video2994,video2994_frame_006.jpg,basketball,6,"kobe kobe, lakers, and lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers"
video2994,video2994_frame_007.jpg,basketball,7,kobe griffin's best duns of all time
video2994,video2994_frame_008.jpg,basketball,8,"kobe, kobe, and kobe in the lakers game"
video2994,video2994_frame_009.jpg,basketball,9,a basketball player is duning the ball
video2994,video2994_frame_010.jpg,basketball,10,a basketball player is trying to block the ball
video2994,video2994_frame_011.jpg,basketball,11,a man duning a basketball ball into the hoop
video3050,video3050_frame_000.jpg,basketball,0,a video of a basketball game being played by a man
video3050,video3050_frame_001.jpg,basketball,1,a man is seen in the air as he walks through the smoke
video3050,video3050_frame_002.jpg,basketball,2,a basketball player duns the ball into the hoop
video3050,video3050_frame_003.jpg,basketball,3,a basketball player is being thrown by a referee
video3050,video3050_frame_004.jpg,basketball,4,a basketball player is running down the court
video3050,video3050_frame_005.jpg,basketball,5,a video of a basketball game being played by a man
video3050,video3050_frame_006.jpg,basketball,6,a video of a basketball game being played by a man
video3050,video3050_frame_007.jpg,basketball,7,a basketball player is duning at the hoop
video3050,video3050_frame_008.jpg,basketball,8,a basketball game with a player shooting the ball
video3050,video3050_frame_009.jpg,basketball,9,a basketball game with a player shooting the ball
video3050,video3050_frame_010.jpg,basketball,10,a basketball player is duning at the hoop
video3050,video3050_frame_011.jpg,basketball,11,a basketball player duns the ball in front of a crowd
video3075,video3075_frame_000.jpg,basketball,0,a person is pointing at a person on a sidewalk
video3075,video3075_frame_001.jpg,basketball,1,a car parked on the side of a road
video3075,video3075_frame_002.jpg,basketball,2,a street with cars parked in front of houses
video3075,video3075_frame_003.jpg,basketball,3,a street with houses and palm trees in the background
video3075,video3075_frame_004.jpg,basketball,4,a man is playing basketball on the sidewalk
video3075,video3075_frame_005.jpg,basketball,5,a man is throwing a ball in the air
video3075,video3075_frame_006.jpg,basketball,6,a man is standing on the sidewalk in front of a house
video3075,video3075_frame_007.jpg,basketball,7,a man is throwing a frc fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
video3075,video3075_frame_008.jpg,basketball,8,a man is holding a small dog in his hand
video3075,video3075_frame_009.jpg,basketball,9,a man is standing on the sidewalk and talking to someone
video3075,video3075_frame_010.jpg,basketball,10,a man is standing in the yard with a remote remote
video3075,video3075_frame_011.jpg,basketball,11,a man is standing on the sidewalk with his hand in his mouth
video3541,video3541_frame_000.jpg,basketball,0,a basketball game is being played on the court
video3541,video3541_frame_001.jpg,basketball,1,a man jumping in the air on a basketball court
video3541,video3541_frame_002.jpg,basketball,2,a basketball game is being played on the court
video3541,video3541_frame_003.jpg,basketball,3,a group of people playing basketball on a court
video3541,video3541_frame_004.jpg,basketball,4,a man is playing basketball on the court
video3541,video3541_frame_005.jpg,basketball,5,a group of people standing around a basketball court
video3541,video3541_frame_006.jpg,basketball,6,a group of people are playing basketball on the street
video3541,video3541_frame_007.jpg,basketball,7,a man is playing basketball on a court
video3541,video3541_frame_008.jpg,basketball,8,a man jumping over a blue tarp
video3541,video3541_frame_009.jpg,basketball,9,a man jumping in the air while playing basketball
video3541,video3541_frame_010.jpg,basketball,10,a man jumping in the air on a basketball court
video3541,video3541_frame_011.jpg,basketball,11,a group of people playing basketball on a court
video3628,video3628_frame_000.jpg,basketball,0,a basketball player is trying to block the ball
video3628,video3628_frame_001.jpg,basketball,1,a man is standing on the ground in front of a crowd
video3628,video3628_frame_002.jpg,basketball,2,a man is standing in front of a crowd
video3628,video3628_frame_003.jpg,basketball,3,a basketball player is duning the ball
video3628,video3628_frame_004.jpg,basketball,4,a basketball game with a player shooting the ball
video3628,video3628_frame_005.jpg,basketball,5,a basketball game is being played on the court
video3628,video3628_frame_006.jpg,basketball,6,a basketball game with a player shooting the ball
video3628,video3628_frame_007.jpg,basketball,7,a basketball game is being played on the court
video3628,video3628_frame_008.jpg,basketball,8,a basketball player is duning the ball
video3628,video3628_frame_009.jpg,basketball,9,a basketball game with a player shooting the ball
video3628,video3628_frame_010.jpg,basketball,10,a basketball player is duning the ball
video3628,video3628_frame_011.jpg,basketball,11,a group of people are dancing in the street
video3661,video3661_frame_000.jpg,basketball,0,a man sitting on a bench with a basketball ball
video3661,video3661_frame_001.jpg,basketball,1,a man sitting on a bench in front of a crowd
video3661,video3661_frame_002.jpg,basketball,2,a man in a black jersey is dancing on the court
video3661,video3661_frame_003.jpg,basketball,3,a man in a black shirt is standing on a basketball court
video3661,video3661_frame_004.jpg,basketball,4,a man standing on a basketball court with a ball
video3661,video3661_frame_005.jpg,basketball,5,a man in a black shirt is dancing on a basketball court
video3661,video3661_frame_006.jpg,basketball,6,a man in a black shirt is walking on a basketball court
video3661,video3661_frame_007.jpg,basketball,7,a man is standing on a basketball court
video3661,video3661_frame_008.jpg,basketball,8,a basketball player duns the ball in the air
video3661,video3661_frame_009.jpg,basketball,9,a basketball game being played by a man
video3661,video3661_frame_010.jpg,basketball,10,a basketball game being played by a man
video3661,video3661_frame_011.jpg,basketball,11,a man duns a basketball ball into the hoop
video3764,video3764_frame_000.jpg,basketball,0,the logo for the game's first ever
video3764,video3764_frame_001.jpg,basketball,1,a basketball game with a crowd watching
video3764,video3764_frame_002.jpg,basketball,2,the nba game is going on with the ball
video3764,video3764_frame_003.jpg,basketball,3,a basketball game with a player shooting the ball
video3764,video3764_frame_004.jpg,basketball,4,a basketball game with a player in the middle of the court
video3764,video3764_frame_005.jpg,basketball,5,the nba game is going on with the ball
video3764,video3764_frame_006.jpg,basketball,6,the spurs's game winning dun
video3764,video3764_frame_007.jpg,basketball,7,the rockets'game winning dun
video3764,video3764_frame_008.jpg,basketball,8,a basketball game with a player jumping up to the basket
video3764,video3764_frame_009.jpg,basketball,9,a basketball game with a crowd watching
video3764,video3764_frame_010.jpg,basketball,10,a basketball game with a player shooting the ball
video3764,video3764_frame_011.jpg,basketball,11,the nba game is going on with the ball
video3802,video3802_frame_000.jpg,basketball,0,a man in white shirt and shorts playing basketball
video3802,video3802_frame_001.jpg,basketball,1,a man in white shirt playing basketball on court
video3802,video3802_frame_002.jpg,basketball,2,a man in a white shirt and shorts playing basketball
video3802,video3802_frame_003.jpg,basketball,3,a man in a white shirt is playing basketball
video3802,video3802_frame_004.jpg,basketball,4,a man jumping in the air
video3802,video3802_frame_005.jpg,basketball,5,a group of people playing basketball in a gym
video3802,video3802_frame_006.jpg,basketball,6,a group of people playing basketball in a gym
video3802,video3802_frame_007.jpg,basketball,7,a group of men playing basketball in a gym
video3802,video3802_frame_008.jpg,basketball,8,a group of men playing basketball in a gym
video3802,video3802_frame_009.jpg,basketball,9,a group of people playing basketball in a gym
video3802,video3802_frame_010.jpg,basketball,10,a group of men playing basketball in a gym
video3802,video3802_frame_011.jpg,basketball,11,a group of people playing basketball in a gym
video3986,video3986_frame_000.jpg,basketball,0,nba game highlights
video3986,video3986_frame_001.jpg,basketball,1,nba live game trailer
video3986,video3986_frame_002.jpg,basketball,2,nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k
video3986,video3986_frame_003.jpg,basketball,3,nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2
video3986,video3986_frame_004.jpg,basketball,4,nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k
video3986,video3986_frame_005.jpg,basketball,5,nba game play of the day
video3986,video3986_frame_006.jpg,basketball,6,nba game highlights
video3986,video3986_frame_007.jpg,basketball,7,nba game play of the day
video3986,video3986_frame_008.jpg,basketball,8,nba game highlights
video3986,video3986_frame_009.jpg,basketball,9,nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k
video3986,video3986_frame_010.jpg,basketball,10,nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k nba 2k
video3986,video3986_frame_011.jpg,basketball,11,nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2kd - nba 2
video3997,video3997_frame_000.jpg,basketball,0,a basketball game with a player in the middle
video3997,video3997_frame_001.jpg,basketball,1,a basketball game with a player in the middle
video3997,video3997_frame_002.jpg,basketball,2,a basketball game with a player shooting the ball
video3997,video3997_frame_003.jpg,basketball,3,a basketball player is duning a ball
video3997,video3997_frame_004.jpg,basketball,4,a basketball player is duning a ball
video3997,video3997_frame_005.jpg,basketball,5,a basketball player duns the ball into the hoop
video3997,video3997_frame_006.jpg,basketball,6,a basketball game with a player shooting the ball
video3997,video3997_frame_007.jpg,basketball,7,a basketball game with a player in the middle
video3997,video3997_frame_008.jpg,basketball,8,a basketball game with a player in the middle
video3997,video3997_frame_009.jpg,basketball,9,a basketball game with a player shooting the ball
video3997,video3997_frame_010.jpg,basketball,10,a basketball game with a player on the court
video3997,video3997_frame_011.jpg,basketball,11,a basketball game with a player on the court
video4177,video4177_frame_000.jpg,basketball,0,a basketball game with a player shooting the ball
video4177,video4177_frame_001.jpg,basketball,1,kobe kobe duns the lakers ball
video4177,video4177_frame_002.jpg,basketball,2,kobe kobe duns the ball in the air
video4177,video4177_frame_003.jpg,basketball,3,kobe kobe duns the ball in the air
video4177,video4177_frame_004.jpg,basketball,4,kobe griffin duns on kobe
video4177,video4177_frame_005.jpg,basketball,5,the lakers game is going on in the nba playoffs
video4177,video4177_frame_006.jpg,basketball,6,a red chair with a blue seat
video4177,video4177_frame_007.jpg,basketball,7,a basketball game with a player shooting the ball
video4177,video4177_frame_008.jpg,basketball,8,a basketball game with a player on the court
video4177,video4177_frame_009.jpg,basketball,9,a basketball game with a player on the court
video4177,video4177_frame_010.jpg,basketball,10,a basketball game with a player in the middle of the court
video4177,video4177_frame_011.jpg,basketball,11,a basketball game with a player shooting the ball
video4337,video4337_frame_000.jpg,basketball,0,a basketball game with a player in the middle of the court
video4337,video4337_frame_001.jpg,basketball,1,a video of a basketball game being played by a man
video4337,video4337_frame_002.jpg,basketball,2,a man in a suit is being interviewed by a man in a suit
video4337,video4337_frame_003.jpg,basketball,3,a man in a suit and tie is being interviewed by a man in a suit
video4337,video4337_frame_004.jpg,basketball,4,a man in a suit is being escorted by police
video4337,video4337_frame_005.jpg,basketball,5,a basketball game is being played on the court
video4337,video4337_frame_006.jpg,basketball,6,a basketball game is being played on the court
video4337,video4337_frame_007.jpg,basketball,7,a basketball game with a player shooting the ball
video4337,video4337_frame_008.jpg,basketball,8,a basketball game is being played on the court
video4337,video4337_frame_009.jpg,basketball,9,a basketball game with a player shooting the ball
video4337,video4337_frame_010.jpg,basketball,10,a basketball game is being played on the court
video4337,video4337_frame_011.jpg,basketball,11,a basketball game is being played on the court
video4420,video4420_frame_000.jpg,basketball,0,a basketball player is about to dun the ball
video4420,video4420_frame_001.jpg,basketball,1,a basketball player duns the ball into the hoop
video4420,video4420_frame_002.jpg,basketball,2,a basketball player duns the ball into the hoop
video4420,video4420_frame_003.jpg,basketball,3,a basketball player is trying to block the ball
video4420,video4420_frame_004.jpg,basketball,4,a white sheet of paper with a black border
video4420,video4420_frame_005.jpg,basketball,5,a drawing of a human body
video4420,video4420_frame_006.jpg,basketball,6,a white sheet of paper with a black border
video4420,video4420_frame_007.jpg,basketball,7,a white sheet with a black border
video4420,video4420_frame_008.jpg,basketball,8,a drawing of a man with a long beard
video4420,video4420_frame_009.jpg,basketball,9,a man holding a basketball ball in his hand
video4420,video4420_frame_010.jpg,basketball,10,a man holding a basketball ball in his hand
video4420,video4420_frame_011.jpg,basketball,11,a man holding a basketball ball in his hand
video4561,video4561_frame_000.jpg,basketball,0,a neon sign with the letter e on it
video4561,video4561_frame_001.jpg,basketball,1,a basketball game with a crowd watching
video4561,video4561_frame_002.jpg,basketball,2,the rockets'game winning shot in the nba playoffs
video4561,video4561_frame_003.jpg,basketball,3,a basketball game with a crowd watching
video4561,video4561_frame_004.jpg,basketball,4,a basketball game with a player shooting the ball
video4561,video4561_frame_005.jpg,basketball,5,watch and share the best moments of the nba playoffs
video4561,video4561_frame_006.jpg,basketball,6,the spurs's derrick duncan drives to the basket
video4561,video4561_frame_007.jpg,basketball,7,"lebron, lebron, and lebron in game 1"
video4561,video4561_frame_008.jpg,basketball,8,the rockets'james paul duns the ball
video4561,video4561_frame_009.jpg,basketball,9,lebron dun vs heat
video4561,video4561_frame_010.jpg,basketball,10,a basketball player duns the ball into the hoop
video4561,video4561_frame_011.jpg,basketball,11,a large screen is projected on the side of a building
video5208,video5208_frame_000.jpg,basketball,0,a basketball game with a crowd watching
video5208,video5208_frame_001.jpg,basketball,1,the nba game is going on with the ball
video5208,video5208_frame_002.jpg,basketball,2,a basketball game with a player in the middle of the court
video5208,video5208_frame_003.jpg,basketball,3,a basketball game with a player in the middle of the court
video5208,video5208_frame_004.jpg,basketball,4,the game is going on as the ball goes in the air
video5208,video5208_frame_005.jpg,basketball,5,a basketball player duns the ball into the hoop
video5208,video5208_frame_006.jpg,basketball,6,a basketball player is duning the ball
video5208,video5208_frame_007.jpg,basketball,7,a basketball player duns the ball into the court
video5208,video5208_frame_008.jpg,basketball,8,a basketball game with a crowd watching
video5208,video5208_frame_009.jpg,basketball,9,a basketball game is being played in a crowded arena
video5208,video5208_frame_010.jpg,basketball,10,a basketball game with a crowd watching
video5208,video5208_frame_011.jpg,basketball,11,a basketball game with a crowd watching
video5261,video5261_frame_000.jpg,basketball,0,a basketball player is about to pass the ball
video5261,video5261_frame_001.jpg,basketball,1,the warriors'stephen curry is going to the basket
video5261,video5261_frame_002.jpg,basketball,2,the warriors'stephen curry is a great player
video5261,video5261_frame_003.jpg,basketball,3,a basketball player is about to dun the ball
video5261,video5261_frame_004.jpg,basketball,4,the warriors'stephen curry is going to the basket
video5261,video5261_frame_005.jpg,basketball,5,the warriors'stephen curry is going to the basket
video5261,video5261_frame_006.jpg,basketball,6,the warriors'stephen curry is a great player
video5261,video5261_frame_007.jpg,basketball,7,a basketball player is trying to block the ball
video5261,video5261_frame_008.jpg,basketball,8,the warriors'stephen curry is duning the ball
video5261,video5261_frame_009.jpg,basketball,9,the warriors'stephen curry is a great player
video5261,video5261_frame_010.jpg,basketball,10,the warriors'stephen curry is duning the ball
video5261,video5261_frame_011.jpg,basketball,11,the warriors'stephen curry is duning the ball
video5436,video5436_frame_000.jpg,basketball,0,a video of a basketball game with a man in the middle
video5436,video5436_frame_001.jpg,basketball,1,a man in a white shirt is standing in front of a crowd
video5436,video5436_frame_002.jpg,basketball,2,a video of a basketball game with a man in the middle
video5436,video5436_frame_003.jpg,basketball,3,a man in a white shirt is laughing
video5436,video5436_frame_004.jpg,basketball,4,a basketball game is being played on the court
video5436,video5436_frame_005.jpg,basketball,5,a basketball game is being played on the court
video5436,video5436_frame_006.jpg,basketball,6,a basketball game is being played on the court
video5436,video5436_frame_007.jpg,basketball,7,a basketball game with a player on the court
video5436,video5436_frame_008.jpg,basketball,8,lebron's game - winning dun
video5436,video5436_frame_009.jpg,basketball,9,the nba game is going on with the knicks
video5436,video5436_frame_010.jpg,basketball,10,the miami heaters are getting their game on the court
video5436,video5436_frame_011.jpg,basketball,11,the spurs's game winning dun
video5926,video5926_frame_000.jpg,basketball,0,a video of a man being thrown from a pool
video5926,video5926_frame_001.jpg,basketball,1,a video of a basketball game being played by a man
video5926,video5926_frame_002.jpg,basketball,2,a man duns a basketball ball into the hoop
video5926,video5926_frame_003.jpg,basketball,3,a football game with a player running for the ball
video5926,video5926_frame_004.jpg,basketball,4,a football game with a player running on the field
video5926,video5926_frame_005.jpg,basketball,5,a football player is running with the ball
video5926,video5926_frame_006.jpg,basketball,6,a football player is running with the ball
video5926,video5926_frame_007.jpg,basketball,7,a football player is running with the ball
video5926,video5926_frame_008.jpg,basketball,8,a football game with a player running towards the ball
video5926,video5926_frame_009.jpg,basketball,9,a football player is running with the ball
video5926,video5926_frame_010.jpg,basketball,10,a soccer game is being played on the field
video5926,video5926_frame_011.jpg,basketball,11,a soccer game is being played on the field
video5987,video5987_frame_000.jpg,basketball,0,nba 2k basketball game
video5987,video5987_frame_001.jpg,basketball,1,nba live basketball game
video5987,video5987_frame_002.jpg,basketball,2,nba 2kp nba 2kpppk nba 2kppkpkpk
video5987,video5987_frame_003.jpg,basketball,3,nba 2k basketball game
video5987,video5987_frame_004.jpg,basketball,4,nba live game
video5987,video5987_frame_005.jpg,basketball,5,nba 2kp - nba 2kppp - nba 2kpppp - nba 2kppppppppp
video5987,video5987_frame_006.jpg,basketball,6,nba 2kp - nba 2kpp - nba 2kpp - nba 2kp
video5987,video5987_frame_007.jpg,basketball,7,nba 2kp - nba 2kpp - nba 2kpp - nba 2kp
video5987,video5987_frame_008.jpg,basketball,8,nba 2k basketball game
video5987,video5987_frame_009.jpg,basketball,9,nba 2kp - nba 2kpp - nba 2kpp - nba 2kp
video5987,video5987_frame_010.jpg,basketball,10,nba 2k basketball game
video5987,video5987_frame_011.jpg,basketball,11,nba 2kp - nba 2kp - nba 2kp - nba 2kp - nba 2kpp - nba 2
video7453,video7453_frame_000.jpg,basketball,0,a camera is on the ground in front of a soccer field
video7453,video7453_frame_001.jpg,basketball,1,a basketball game being played in a gym
video7453,video7453_frame_002.jpg,basketball,2,a man is playing basketball in a gym
video7453,video7453_frame_003.jpg,basketball,3,a man is doing a trick on a basketball hoop
video7453,video7453_frame_004.jpg,basketball,4,a man is doing a trick on a basketball hoop
video7453,video7453_frame_005.jpg,basketball,5,a man is doing a trick on a basketball hoop
video7453,video7453_frame_006.jpg,basketball,6,a man duns a basketball ball into the hoop
video7453,video7453_frame_007.jpg,basketball,7,a man is standing on a ladder in a gym
video7453,video7453_frame_008.jpg,basketball,8,a man is standing in front of a basketball hoop
video7453,video7453_frame_009.jpg,basketball,9,a man is shooting a basketball ball in the air
video7453,video7453_frame_010.jpg,basketball,10,a man and woman are playing basketball in a room
video7453,video7453_frame_011.jpg,basketball,11,a man is seen in a video taken from the camera
video760,video760_frame_000.jpg,basketball,0,michael michael jordan dun dun dun dun dun dun dun dun dun dun dun dun dun dun dun dun dun dun
video760,video760_frame_001.jpg,basketball,1,michael johnson dun dun
video760,video760_frame_002.jpg,basketball,2,michael johnson dun dun
video760,video760_frame_003.jpg,basketball,3,michael johnson dun dun
video760,video760_frame_004.jpg,basketball,4,michael johnson dun dun
video760,video760_frame_005.jpg,basketball,5,michael johnson dun dun
video760,video760_frame_006.jpg,basketball,6,michael johnson dun dun
video760,video760_frame_007.jpg,basketball,7,michael johnson dun dun
video760,video760_frame_008.jpg,basketball,8,michael johnson dun dun
video760,video760_frame_009.jpg,basketball,9,michael johnson dun dun
video760,video760_frame_010.jpg,basketball,10,michael johnson dun dun
video760,video760_frame_011.jpg,basketball,11,michael johnson dun dun
video8091,video8091_frame_000.jpg,basketball,0,a basketball game with a ball and a basketball player
video8091,video8091_frame_001.jpg,basketball,1,a basketball game with a basketball ball on the court
video8091,video8091_frame_002.jpg,basketball,2,a basketball game with a basketball ball on the court
video8091,video8091_frame_003.jpg,basketball,3,a basketball game with a basketball ball on the court
video8091,video8091_frame_004.jpg,basketball,4,a basketball game with a player on the screen
video8091,video8091_frame_005.jpg,basketball,5,"a video of a basketball game with the words,'i'm'and'i'm '"
video8091,video8091_frame_006.jpg,basketball,6,a video screen with a basketball ball and a basketball ball
video8091,video8091_frame_007.jpg,basketball,7,a basketball game with a basketball ball and a basketball ball
video8091,video8091_frame_008.jpg,basketball,8,a basketball game with a ball and a basketball player
video8091,video8091_frame_009.jpg,basketball,9,a video of a basketball game with a basketball ball
video8091,video8091_frame_010.jpg,basketball,10,a basketball game with a basketball ball and a basketball ball
video8091,video8091_frame_011.jpg,basketball,11,a basketball game with a basketball ball and a basketball ball
video880,video880_frame_000.jpg,basketball,0,a basketball game with a man duning a ball
video880,video880_frame_001.jpg,basketball,1,the spurs's game in the nba playoffs
video880,video880_frame_002.jpg,basketball,2,a group of men in blue uniforms dancing
video880,video880_frame_003.jpg,basketball,3,the harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem harlem
video880,video880_frame_004.jpg,basketball,4,a group of men in blue jackets dancing on a stage
video880,video880_frame_005.jpg,basketball,5,a man is bending his leg on the floor
video880,video880_frame_006.jpg,basketball,6,a man in blue jacket and black pants is dancing
video880,video880_frame_007.jpg,basketball,7,a man in blue jacket dancing on stage
video880,video880_frame_008.jpg,basketball,8,a man in blue jacket and white pants dancing on stage
video880,video880_frame_009.jpg,basketball,9,a man in blue is dancing on the court
video880,video880_frame_010.jpg,basketball,10,the nba game is over and the game is over
video880,video880_frame_011.jpg,basketball,11,the nba game is going on with the knicks
video8859,video8859_frame_000.jpg,basketball,0,a basketball player is duning the ball
video8859,video8859_frame_001.jpg,basketball,1,a basketball player is about to pass the ball
video8859,video8859_frame_002.jpg,basketball,2,a basketball player is duning the ball
video8859,video8859_frame_003.jpg,basketball,3,a group of people playing basketball in a building
video8859,video8859_frame_004.jpg,basketball,4,a basketball game with a player in the middle
