video_id,image_path,video_path,caption_1
video1667,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1667.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1667.mp4,a basketball player does a slam dunk
video1734,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1734.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1734.mp4,a football match is going on
video179,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video179.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video179.mp4,a girl in a soccer uniform confronts a guy on a soccer field
video1913,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1913.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1913.mp4,a football player dances with his team-mates
video1930,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1930.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1930.mp4,a baseball player hits a ball and it is out at first base
video1940,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1940.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1940.mp4,a baseball player is sliding into second base
video1949,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1949.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1949.mp4,a comedic song about the houston texans football team
video1954,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1954.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1954.mp4,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously
video1967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1967.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1967.mp4,a man with spiky hair talks with a news reporter about golf
video1997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1997.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1997.mp4,a man is water skiing behind a boat
video2038,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2038.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2038.mp4,some screenshots of baseball players swinging bats
video2054,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2054.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2054.mp4,men are playing soccer and a man in a red shirt and a man in a yellow shirt get tackled
video2101,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2101.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2101.mp4,a basketball player shoots a basket
video2120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2120.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2120.mp4,a golfer drives a ball
video2248,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2248.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2248.mp4,on a baseball field referees discuss a play
video2260,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2260.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2260.mp4,a man in short red shorts tosses jalapenos through a tiny basketball hoop into a bowl of nachos
video2282,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2282.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2282.mp4,a gamer plays a soccer video game
video2311,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2311.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2311.mp4,a basketball player performs a slam dunk
video2314,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2314.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2314.mp4,there is a tiger running towards the water
video2347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2347.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2347.mp4,a female soccer goalie being interviewed by the press
video2379,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2379.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2379.mp4,two people playing table tennis game in front of the audience
video2390,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2390.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2390.mp4,a basketball game is played
video2434,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2434.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2434.mp4,a commentator is talking about a soccer game
video2445,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2445.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2445.mp4,a man catches footballs while navigating abound small pools of water
video2525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2525.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2525.mp4,the woman players in red and black dress running fastly on the track
video2553,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2553.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2553.mp4,there is a animated character playing tennis  very slowly
video2580,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2580.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2580.mp4,a clip of a man entering a boxing ring
video2586,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2586.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2586.mp4,a group of soccer fans cheer while watching a game
video2597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2597.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2597.mp4,a golfer is walking away from the hole after he makes a put
video2634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2634.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2634.mp4,a man in a blue shirt is dribbling a basketball
video2664,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2664.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2664.mp4,a tshirt man is playing table tennis
video2685,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2685.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2685.mp4,a compilation of a few different soccer games
video2732,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2732.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2732.mp4,a baseball player hits the ball
video2762,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2762.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2762.mp4,a lawn tennis video game
video279,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video279.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video279.mp4,a backstroke swimming competition
video2795,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2795.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2795.mp4,a classroom scene from a movie that shows a guy freaking out and running away
video2812,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2812.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2812.mp4,a basketball game played by the clippers is shown briefly
video2835,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2835.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2835.mp4,a football game with a player making a touch down
video2856,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2856.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2856.mp4,two beautiful girls swimming in the deep blue sea
video2860,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2860.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2860.mp4,two players wearing black and white dress playing the tennis well in the tennis court
video2877,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2877.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2877.mp4,a basketball player shoots a layup
video2884,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2884.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2884.mp4,a college football game is shown
video2909,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2909.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2909.mp4,a football play from several different angles
video2926,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2926.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2926.mp4,a guy in the gym describing how to make moves in basketball
video2944,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2944.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2944.mp4,a baseball clip and a football clip of the saints plays
video2959,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2959.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2959.mp4,a football player is making a catch
video2967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2967.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2967.mp4,a basketball player dunks the  ball
video2994,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2994.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2994.mp4,a basketball game is played and commentated
video2998,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2998.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video2998.mp4,a man is holding a football
video302,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video302.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video302.mp4,a man in a black uniform and bright orange tennis shoes kicks a soccer ball into a goal
video3050,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3050.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3050.mp4,a basketball player hitting a last second shot
video3075,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3075.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3075.mp4,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses
video3115,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3115.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3115.mp4,there is man is practicing football and kick the ball to the court
video3120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3120.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3120.mp4,a man in black dress is saying something about table tennis game
video3129,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3129.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3129.mp4,there is a man running on the woods
video3160,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3160.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3160.mp4,a clip from a football match
video3228,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3228.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3228.mp4,a man in white tshirt is running way from someone
video3242,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3242.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3242.mp4,a montoge of soccer games
video3265,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3265.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3265.mp4,3 guys talking about if wiffleball or baseball is better
video3346,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3346.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3346.mp4,a college football game being played
video3368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3368.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3368.mp4,a woman is playing tennis on a stadium
video3373,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3373.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3373.mp4,a football players are running
video347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video347.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video347.mp4,a man is skiing down a mountain and views from the mountain are shown
video3525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3525.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3525.mp4,a dog is running on a field
video3540,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3540.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3540.mp4,a football player is making a goal into the goal post
video3541,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3541.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3541.mp4,three basketball players in orange shirts perform fantastic moves
video3545,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3545.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3545.mp4,a musical video showing a girl with a light blue cap and a person running in the back
video3597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3597.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3597.mp4,a basketball game is played
video3628,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3628.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3628.mp4,a basketball highlight reel shows good and funny shots
video3634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3634.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3634.mp4,a discussion of an old football game
video3644,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3644.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3644.mp4,there are many people enjoy swimming in water
video3661,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3661.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3661.mp4,a basketball player does a dunk
video3695,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3695.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3695.mp4,a boy is about to play basketball with his two friends on an indoor court
video3764,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3764.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3764.mp4,a basketball player dunking
video3773,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3773.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3773.mp4,a football game is being played on full snow covered field
video3802,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3802.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3802.mp4,a basketball player shoots a layup
video3826,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3826.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3826.mp4,football teams throw the ball and run down the field before diving off the sideline
video3872,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3872.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3872.mp4,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net
video3894,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3894.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3894.mp4,a compilation of football highlights
video3925,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3925.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3925.mp4,a basic animated clip of hockey and table tennis examples
video3986,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3986.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3986.mp4,a basketball player makes a slam dunk
video3997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3997.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video3997.mp4,a basketball player goes up for a dunk but gets rejected by the other team
video4025,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4025.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4025.mp4,a fluffy white and brown dog carries a stick while running through the woods
video4071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4071.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4071.mp4,there is a man running in to the grass
video4087,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4087.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4087.mp4,a basketball player celebrates winning an award
video4091,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4091.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4091.mp4,a star on the abc network enjoys jet-skiing on a lake
video4158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4158.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4158.mp4,a man heads a soccer ball
video4167,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4167.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4167.mp4,a group of mermaids are a swimming in the ocean with other water creatures
video4177,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4177.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4177.mp4,a basketball game is occurring
video4198,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4198.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4198.mp4,a young africa-american man speaks of his time playing basketball and his father s incredulity as to his son s career choice
video4201,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4201.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video4201.mp4,a basketball player lands a shot from half court
