image_id,image_path,caption,clipscore_simplificado
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,a football player with a football,0.2502191
video2762,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2762.jpg,a lawn tennis video game,0.25035843
video1623,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1623.jpg,a basketball game being played,0.253671
video2054,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2054.jpg,men are playing soccer and a man in a red shirt and a man in a yellow shirt get tackled,0.25378558
video2860,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2860.jpg,two players wearing black and white dress playing the tennis well in the tennis court,0.2550895
video2586,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2586.jpg,a group of soccer fans cheer while watching a game,0.2566837
video3540,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3540.jpg,a football player is making a goal into the goal post,0.25702316
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,a football player is tackling another player,0.25722837
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,a man talks about football scores,0.25834322
video3129,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3129.jpg,there is a man running on the woods,0.2588167
video2926,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2926.jpg,a guy in the gym describing how to make moves in basketball,0.259619
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,a cartoon animal is running around,0.26002792
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,a cowboy and a police officer firings guns followed by football action,0.2602325
video2998,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2998.jpg,a man is holding a football,0.26060802
video2390,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2390.jpg,a basketball game is played,0.26077414
video2445,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2445.jpg,a man catches footballs while navigating abound small pools of water,0.2611861
video2959,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2959.jpg,a football player is making a catch,0.26226366
video2248,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2248.jpg,on a baseball field referees discuss a play,0.26508048
video2314,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2314.jpg,there is a tiger running towards the water,0.26592788
video2101,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2101.jpg,a basketball player shoots a basket,0.2682979
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,a clip of a football game,0.26929158
video2884,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2884.jpg,a college football game is shown,0.27035257
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,a couple of people shooting a basketball,0.2715326
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,a football player scores a touchdown,0.27178168
video2994,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2994.jpg,a basketball game is played and commentated,0.272281
video3628,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3628.jpg,a basketball highlight reel shows good and funny shots,0.27233812
video3075,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3075.jpg,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses,0.2768079
video1652,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1652.jpg,a basketball player shooting a jump shot and then celebrating afterwords,0.27720153
video4158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4158.jpg,a man heads a soccer ball,0.27950102
video2877,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2877.jpg,a basketball player shoots a layup,0.2799959
video3661,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3661.jpg,a basketball player does a dunk,0.28119636
video2732,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2732.jpg,a baseball player hits the ball,0.281784
video1949,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1949.jpg,a comedic song about the houston texans football team,0.2827415
video3115,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3115.jpg,there is man is practicing football and kick the ball to the court,0.28291085
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,today were are talking about running downhill as we watch a bunch of people running,0.2841544
video2260,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2260.jpg,a man in short red shorts tosses jalapenos through a tiny basketball hoop into a bowl of nachos,0.28432754
video3997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3997.jpg,a basketball player goes up for a dunk but gets rejected by the other team,0.28450817
video3802,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3802.jpg,a basketball player shoots a layup,0.28597715
video3695,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3695.jpg,a boy is about to play basketball with his two friends on an indoor court,0.28604123
video1585,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1585.jpg,a crowd cheering while watching a football game,0.2865194
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,a commercial for a soccer video game,0.28655785
video2597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2597.jpg,a golfer is walking away from the hole after he makes a put,0.28695905
video2685,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2685.jpg,a compilation of a few different soccer games,0.2874659
video2038,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2038.jpg,some screenshots of baseball players swinging bats,0.28770328
video3986,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3986.jpg,a basketball player makes a slam dunk,0.289915
video2795,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2795.jpg,a classroom scene from a movie that shows a guy freaking out and running away,0.29019216
video2634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2634.jpg,a man in a blue shirt is dribbling a basketball,0.29287198
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,a basketball assist leads to a slam-dunk,0.29292002
video3826,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3826.jpg,football teams throw the ball and run down the field before diving off the sideline,0.29362673
video157,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video157.jpg,a compilation of fight videos dance video and basketball footage with a rap music in the background,0.29364288
video1967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1967.jpg,a man with spiky hair talks with a news reporter about golf,0.29446518
video302,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video302.jpg,a man in a black uniform and bright orange tennis shoes kicks a soccer ball into a goal,0.29450184
video3120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3120.jpg,a man in black dress is saying something about table tennis game,0.29624838
video1930,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1930.jpg,a baseball player hits a ball and it is out at first base,0.29703736
video3050,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3050.jpg,a basketball player hitting a last second shot,0.29711726
video4025,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4025.jpg,a fluffy white and brown dog carries a stick while running through the woods,0.29940206
video3160,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3160.jpg,a clip from a football match,0.30057368
video2812,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2812.jpg,a basketball game played by the clippers is shown briefly,0.30553567
video3925,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3925.jpg,a basic animated clip of hockey and table tennis examples,0.3069937
video2525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2525.jpg,the woman players in red and black dress running fastly on the track,0.3072502
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,a clip of a soccer match,0.30896252
video158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video158.jpg,a football player is being interviewed on the field,0.31037095
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,a baseball pitcher practicing his pitches,0.3135233
video2379,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2379.jpg,two people playing table tennis game in front of the audience,0.31434545
video2347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2347.jpg,a female soccer goalie being interviewed by the press,0.31502026
video1667,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1667.jpg,a basketball player does a slam dunk,0.31769866
video3368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3368.jpg,a woman is playing tennis on a stadium,0.31832075
video2856,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2856.jpg,two beautiful girls swimming in the deep blue sea,0.32062373
video1536,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1536.jpg,two extremely talented athletes are vying for the win in a table tennis match,0.33299118
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,a dog is playing in a swimming pool with another dog,0.33541793
video279,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video279.jpg,a backstroke swimming competition,0.3375646
video1543,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1543.jpg,a man in green t-shirt is practising his table tennis skills,0.34232086
video179,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video179.jpg,a girl in a soccer uniform confronts a guy on a soccer field,0.3430506
video1608,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1608.jpg,there is going on a table tennis game between two people one is in yellow and the other is in red dressing,0.36263415
